2m,4m,6m,mm (onlyライブたたき=>1エレガントのセット)
2,1,2,0,24432
3,1,0,1,24522
1,3,1,0,24546
3,0,2,0,24630
0,5,0,0,24660
4,0,0,1,24720
2,2,1,0,24744
1,4,0,0,24858
3,1,1,0,24942
2,3,0,0,25056
4,0,1,0,25140
0,0,0,6,25200
3,2,0,0,25254
4,1,0,0,25452
0,0,1,5,25620
5,0,0,0,25650
0,1,0,5,25932
0,0,2,4,26040
1,0,0,5,26130
0,1,1,4,26352
0,0,3,3,26460
1,0,1,4,26550
0,2,0,4,26664
0,1,2,3,26772
1,1,0,4,26862
0,0,4,2,26880
1,0,2,3,26970
2,0,0,4,27060
0,2,1,3,27084
0,1,3,2,27192
1,1,1,3,27282
0,0,5,1,27300
1,0,3,2,27390
0,3,0,3,27396
2,0,1,3,27480
0,2,2,2,27504
1,2,0,3,27594
0,1,4,1,27612
1,1,2,2,27702
0,0,6,0,27720
2,1,0,3,27792
1,0,4,1,27810
0,3,1,2,27816
2,0,2,2,27900
0,2,3,1,27924
3,0,0,3,27990
1,2,1,2,28014
0,1,5,0,28032
1,1,3,1,28122
0,4,0,2,28128
2,1,1,2,28212
1,0,5,0,28230
0,3,2,1,28236
2,0,3,1,28320
1,3,0,2,28326
0,2,4,0,28344
3,0,1,2,28410
1,2,2,1,28434
2,2,0,2,28524
1,1,4,0,28542
0,4,1,1,28548
2,1,2,1,28632
0,3,3,0,28656
3,1,0,2,28722
2,0,4,0,28740
1,3,1,1,28746
3,0,2,1,28830
1,2,3,0,28854
0,5,0,1,28860
4,0,0,2,28920
2,2,1,1,28944
0,4,2,0,28968
2,1,3,0,29052
1,4,0,1,29058
3,1,1,1,29142
1,3,2,0,29166
3,0,3,0,29250
2,3,0,1,29256
0,5,1,0,29280
4,0,1,1,29340
2,2,2,0,29364
0,0,0,7,29400
3,2,0,1,29454
1,4,1,0,29478
3,1,2,0,29562
0,6,0,0,29592
4,1,0,1,29652
2,3,1,0,29676
4,0,2,0,29760
1,5,0,0,29790
0,0,1,6,29820
5,0,0,1,29850
3,2,1,0,29874
2,4,0,0,29988
4,1,1,0,30072
0,1,0,6,30132
3,3,0,0,30186
0,0,2,5,30240
5,0,1,0,30270
1,0,0,6,30330
4,2,0,0,30384
0,1,1,5,30552
5,1,0,0,30582
0,0,3,4,30660
1,0,1,5,30750
6,0,0,0,30780
0,2,0,5,30864
0,1,2,4,30972
1,1,0,5,31062
0,0,4,3,31080
1,0,2,4,31170
2,0,0,5,31260
0,2,1,4,31284
0,1,3,3,31392
1,1,1,4,31482
0,0,5,2,31500
1,0,3,3,31590
0,3,0,4,31596
2,0,1,4,31680
0,2,2,3,31704
1,2,0,4,31794
0,1,4,2,31812
1,1,2,3,31902
0,0,6,1,31920
2,1,0,4,31992
1,0,4,2,32010
0,3,1,3,32016
2,0,2,3,32100
0,2,3,2,32124
3,0,0,4,32190
1,2,1,3,32214
0,1,5,1,32232
1,1,3,2,32322
0,4,0,3,32328
0,0,7,0,32340
2,1,1,3,32412
1,0,5,1,32430
0,3,2,2,32436
2,0,3,2,32520
1,3,0,3,32526
0,2,4,1,32544
3,0,1,3,32610
1,2,2,2,32634
0,1,6,0,32652
2,2,0,3,32724
1,1,4,1,32742
0,4,1,2,32748
2,1,2,2,32832
1,0,6,0,32850
0,3,3,1,32856
3,1,0,3,32922
2,0,4,1,32940
1,3,1,2,32946
0,2,5,0,32964
3,0,2,2,33030
1,2,3,1,33054
0,5,0,2,33060
4,0,0,3,33120
2,2,1,2,33144
1,1,5,0,33162
0,4,2,1,33168
2,1,3,1,33252
1,4,0,2,33258
0,3,4,0,33276
3,1,1,2,33342
2,0,5,0,33360
1,3,2,1,33366
3,0,3,1,33450
2,3,0,2,33456
1,2,4,0,33474
0,5,1,1,33480
4,0,1,2,33540
2,2,2,1,33564
0,4,3,0,33588
0,0,0,8,33600
3,2,0,2,33654
2,1,4,0,33672
1,4,1,1,33678
3,1,2,1,33762
1,3,3,0,33786
0,6,0,1,33792
4,1,0,2,33852
3,0,4,0,33870
2,3,1,1,33876
0,5,2,0,33900
4,0,2,1,33960
2,2,3,0,33984
1,5,0,1,33990
0,0,1,7,34020
5,0,0,2,34050
3,2,1,1,34074
1,4,2,0,34098
3,1,3,0,34182
2,4,0,1,34188
0,6,1,0,34212
4,1,1,1,34272
2,3,2,0,34296
0,1,0,7,34332
4,0,3,0,34380
3,3,0,1,34386
1,5,1,0,34410
0,0,2,6,34440
5,0,1,1,34470
3,2,2,0,34494
0,7,0,0,34524
1,0,0,7,34530
4,2,0,1,34584
2,4,1,0,34608
4,1,2,0,34692
1,6,0,0,34722
0,1,1,6,34752
5,1,0,1,34782
3,3,1,0,34806
0,0,3,5,34860
5,0,2,0,34890
2,5,0,0,34920
1,0,1,6,34950
6,0,0,1,34980
4,2,1,0,35004
0,2,0,6,35064
3,4,0,0,35118
0,1,2,5,35172
5,1,1,0,35202
1,1,0,6,35262
0,0,4,4,35280
4,3,0,0,35316
1,0,2,5,35370
6,0,1,0,35400
2,0,0,6,35460
0,2,1,5,35484
5,2,0,0,35514
0,1,3,4,35592
1,1,1,5,35682
0,0,5,3,35700
6,1,0,0,35712
1,0,3,4,35790
0,3,0,5,35796
2,0,1,5,35880
0,2,2,4,35904
7,0,0,0,35910
1,2,0,5,35994
0,1,4,3,36012
1,1,2,4,36102
0,0,6,2,36120
2,1,0,5,36192
1,0,4,3,36210
0,3,1,4,36216
2,0,2,4,36300
0,2,3,3,36324
3,0,0,5,36390
1,2,1,4,36414
0,1,5,2,36432
1,1,3,3,36522
0,4,0,4,36528
0,0,7,1,36540
2,1,1,4,36612
1,0,5,2,36630
0,3,2,3,36636
2,0,3,3,36720
1,3,0,4,36726
0,2,4,2,36744
3,0,1,4,36810
1,2,2,3,36834
0,1,6,1,36852
2,2,0,4,36924
1,1,4,2,36942
0,4,1,3,36948
0,0,8,0,36960
2,1,2,3,37032
1,0,6,1,37050
0,3,3,2,37056
3,1,0,4,37122
2,0,4,2,37140
1,3,1,3,37146
0,2,5,1,37164
3,0,2,3,37230
1,2,3,2,37254
0,5,0,3,37260
0,1,7,0,37272
4,0,0,4,37320
2,2,1,3,37344
1,1,5,1,37362
0,4,2,2,37368
2,1,3,2,37452
1,4,0,3,37458
1,0,7,0,37470
0,3,4,1,37476
3,1,1,3,37542
2,0,5,1,37560
1,3,2,2,37566
0,2,6,0,37584
3,0,3,2,37650
2,3,0,3,37656
1,2,4,1,37674
0,5,1,2,37680
4,0,1,3,37740
2,2,2,2,37764
1,1,6,0,37782
0,4,3,1,37788
0,0,0,9,37800
3,2,0,3,37854
2,1,4,1,37872
1,4,1,2,37878
0,3,5,0,37896
3,1,2,2,37962
2,0,6,0,37980
1,3,3,1,37986
0,6,0,2,37992
4,1,0,3,38052
3,0,4,1,38070
2,3,1,2,38076
1,2,5,0,38094
0,5,2,1,38100
4,0,2,2,38160
2,2,3,1,38184
1,5,0,2,38190
0,4,4,0,38208
0,0,1,8,38220
5,0,0,3,38250
3,2,1,2,38274
2,1,5,0,38292
1,4,2,1,38298
3,1,3,1,38382
2,4,0,2,38388
1,3,4,0,38406
0,6,1,1,38412
4,1,1,2,38472
3,0,5,0,38490
2,3,2,1,38496
0,5,3,0,38520
0,1,0,8,38532
4,0,3,1,38580
3,3,0,2,38586
2,2,4,0,38604
1,5,1,1,38610
0,0,2,7,38640
5,0,1,2,38670
3,2,2,1,38694
1,4,3,0,38718
0,7,0,1,38724
1,0,0,8,38730
4,2,0,2,38784
3,1,4,0,38802
2,4,1,1,38808
0,6,2,0,38832
4,1,2,1,38892
2,3,3,0,38916
1,6,0,1,38922
0,1,1,7,38952
5,1,0,2,38982
4,0,4,0,39000
3,3,1,1,39006
1,5,2,0,39030
0,0,3,6,39060
5,0,2,1,39090
3,2,3,0,39114
2,5,0,1,39120
0,7,1,0,39144
1,0,1,7,39150
6,0,0,2,39180
4,2,1,1,39204
2,4,2,0,39228
0,2,0,7,39264
4,1,3,0,39312
3,4,0,1,39318
1,6,1,0,39342
0,1,2,6,39372
5,1,1,1,39402
3,3,2,0,39426
0,8,0,0,39456
1,1,0,7,39462
0,0,4,5,39480
5,0,3,0,39510
4,3,0,1,39516
2,5,1,0,39540
1,0,2,6,39570
6,0,1,1,39600
4,2,2,0,39624
1,7,0,0,39654
2,0,0,7,39660
0,2,1,6,39684
5,2,0,1,39714
3,4,1,0,39738
0,1,3,5,39792
5,1,2,0,39822
2,6,0,0,39852
1,1,1,6,39882
0,0,5,4,39900
6,1,0,1,39912
4,3,1,0,39936
1,0,3,5,39990
0,3,0,6,39996
6,0,2,0,40020
3,5,0,0,40050
2,0,1,6,40080
0,2,2,5,40104
7,0,0,1,40110
5,2,1,0,40134
1,2,0,6,40194
0,1,4,4,40212
4,4,0,0,40248
1,1,2,5,40302
0,0,6,3,40320
6,1,1,0,40332
2,1,0,6,40392
1,0,4,4,40410
0,3,1,5,40416
5,3,0,0,40446
2,0,2,5,40500
0,2,3,4,40524
7,0,1,0,40530
3,0,0,6,40590
1,2,1,5,40614
0,1,5,3,40632
6,2,0,0,40644
1,1,3,4,40722
0,4,0,5,40728
0,0,7,2,40740
2,1,1,5,40812
1,0,5,3,40830
0,3,2,4,40836
7,1,0,0,40842
2,0,3,4,40920
1,3,0,5,40926
0,2,4,3,40944
3,0,1,5,41010
1,2,2,4,41034
8,0,0,0,41040
0,1,6,2,41052
2,2,0,5,41124
1,1,4,3,41142
0,4,1,4,41148
0,0,8,1,41160
2,1,2,4,41232
1,0,6,2,41250
0,3,3,3,41256
3,1,0,5,41322
2,0,4,3,41340
1,3,1,4,41346
0,2,5,2,41364
3,0,2,4,41430
1,2,3,3,41454
0,5,0,4,41460
0,1,7,1,41472
4,0,0,5,41520
2,2,1,4,41544
1,1,5,2,41562
0,4,2,3,41568
0,0,9,0,41580
2,1,3,3,41652
1,4,0,4,41658
1,0,7,1,41670
0,3,4,2,41676
3,1,1,4,41742
2,0,5,2,41760
1,3,2,3,41766
0,2,6,1,41784
3,0,3,3,41850
2,3,0,4,41856
1,2,4,2,41874
0,5,1,3,41880
0,1,8,0,41892
4,0,1,4,41940
2,2,2,3,41964
1,1,6,1,41982
0,4,3,2,41988
0,0,0,10,42000
3,2,0,4,42054
2,1,4,2,42072
1,4,1,3,42078
1,0,8,0,42090
0,3,5,1,42096
3,1,2,3,42162
2,0,6,1,42180
1,3,3,2,42186
0,6,0,3,42192
0,2,7,0,42204
4,1,0,4,42252
3,0,4,2,42270
2,3,1,3,42276
1,2,5,1,42294
0,5,2,2,42300
4,0,2,3,42360
2,2,3,2,42384
1,5,0,3,42390
1,1,7,0,42402
0,4,4,1,42408
0,0,1,9,42420
5,0,0,4,42450
3,2,1,3,42474
2,1,5,1,42492
1,4,2,2,42498
0,3,6,0,42516
3,1,3,2,42582
2,4,0,3,42588
2,0,7,0,42600
1,3,4,1,42606
0,6,1,2,42612
4,1,1,3,42672
3,0,5,1,42690
2,3,2,2,42696
1,2,6,0,42714
0,5,3,1,42720
0,1,0,9,42732
4,0,3,2,42780
3,3,0,3,42786
2,2,4,1,42804
1,5,1,2,42810
0,4,5,0,42828
0,0,2,8,42840
5,0,1,3,42870
3,2,2,2,42894
2,1,6,0,42912
1,4,3,1,42918
0,7,0,2,42924
1,0,0,9,42930
4,2,0,3,42984
3,1,4,1,43002
2,4,1,2,43008
1,3,5,0,43026
0,6,2,1,43032
4,1,2,2,43092
3,0,6,0,43110
2,3,3,1,43116
1,6,0,2,43122
0,5,4,0,43140
0,1,1,8,43152
5,1,0,3,43182
4,0,4,1,43200
3,3,1,2,43206
2,2,5,0,43224
1,5,2,1,43230
0,0,3,7,43260
5,0,2,2,43290
3,2,3,1,43314
2,5,0,2,43320
1,4,4,0,43338
0,7,1,1,43344
1,0,1,8,43350
6,0,0,3,43380
4,2,1,2,43404
3,1,5,0,43422
2,4,2,1,43428
0,6,3,0,43452
0,2,0,8,43464
4,1,3,1,43512
3,4,0,2,43518
2,3,4,0,43536
1,6,1,1,43542
0,1,2,7,43572
5,1,1,2,43602
4,0,5,0,43620
3,3,2,1,43626
1,5,3,0,43650
0,8,0,1,43656
1,1,0,8,43662
0,0,4,6,43680
5,0,3,1,43710
4,3,0,2,43716
3,2,4,0,43734
2,5,1,1,43740
0,7,2,0,43764
1,0,2,7,43770
6,0,1,2,43800
4,2,2,1,43824
2,4,3,0,43848
1,7,0,1,43854
2,0,0,8,43860
0,2,1,7,43884
5,2,0,2,43914
4,1,4,0,43932
3,4,1,1,43938
1,6,2,0,43962
0,1,3,6,43992
5,1,2,1,44022
3,3,3,0,44046
2,6,0,1,44052
0,8,1,0,44076
1,1,1,7,44082
0,0,5,5,44100
6,1,0,2,44112
5,0,4,0,44130
4,3,1,1,44136
2,5,2,0,44160
1,0,3,6,44190
0,3,0,7,44196
6,0,2,1,44220
4,2,3,0,44244
3,5,0,1,44250
1,7,1,0,44274
2,0,1,7,44280
0,2,2,6,44304
7,0,0,2,44310
5,2,1,1,44334
3,4,2,0,44358
0,9,0,0,44388
1,2,0,7,44394
0,1,4,5,44412
5,1,3,0,44442
4,4,0,1,44448
2,6,1,0,44472
1,1,2,6,44502
0,0,6,4,44520
6,1,1,1,44532
4,3,2,0,44556
1,8,0,0,44586
2,1,0,7,44592
1,0,4,5,44610
0,3,1,6,44616
6,0,3,0,44640
5,3,0,1,44646
3,5,1,0,44670
2,0,2,6,44700
0,2,3,5,44724
7,0,1,1,44730
5,2,2,0,44754
2,7,0,0,44784
3,0,0,7,44790
1,2,1,6,44814
0,1,5,4,44832
6,2,0,1,44844
4,4,1,0,44868
1,1,3,5,44922
0,4,0,6,44928
0,0,7,3,44940
6,1,2,0,44952
3,6,0,0,44982
2,1,1,6,45012
1,0,5,4,45030
0,3,2,5,45036
7,1,0,1,45042
5,3,1,0,45066
2,0,3,5,45120
1,3,0,6,45126
0,2,4,4,45144
7,0,2,0,45150
4,5,0,0,45180
3,0,1,6,45210
1,2,2,5,45234
8,0,0,1,45240
0,1,6,3,45252
6,2,1,0,45264
2,2,0,6,45324
1,1,4,4,45342
0,4,1,5,45348
0,0,8,2,45360
5,4,0,0,45378
2,1,2,5,45432
1,0,6,3,45450
0,3,3,4,45456
7,1,1,0,45462
3,1,0,6,45522
2,0,4,4,45540
1,3,1,5,45546
0,2,5,3,45564
6,3,0,0,45576
3,0,2,5,45630
1,2,3,4,45654
0,5,0,5,45660
8,0,1,0,45660
0,1,7,2,45672
4,0,0,6,45720
2,2,1,5,45744
1,1,5,3,45762
0,4,2,4,45768
7,2,0,0,45774
0,0,9,1,45780
2,1,3,4,45852
1,4,0,5,45858
1,0,7,2,45870
0,3,4,3,45876
3,1,1,5,45942
2,0,5,3,45960
1,3,2,4,45966
8,1,0,0,45972
0,2,6,2,45984
3,0,3,4,46050
2,3,0,5,46056
1,2,4,3,46074
0,5,1,4,46080
0,1,8,1,46092
4,0,1,5,46140
2,2,2,4,46164
9,0,0,0,46170
1,1,6,2,46182
0,4,3,3,46188
3,2,0,5,46254
2,1,4,3,46272
1,4,1,4,46278
1,0,8,1,46290
0,3,5,2,46296
3,1,2,4,46362
2,0,6,2,46380
1,3,3,3,46386
0,6,0,4,46392
0,2,7,1,46404
4,1,0,5,46452
3,0,4,3,46470
2,3,1,4,46476
1,2,5,2,46494
0,5,2,3,46500
0,1,9,0,46512
4,0,2,4,46560
2,2,3,3,46584
1,5,0,4,46590
1,1,7,1,46602
0,4,4,2,46608
0,0,1,10,46620
5,0,0,5,46650
3,2,1,4,46674
2,1,5,2,46692
1,4,2,3,46698
1,0,9,0,46710
0,3,6,1,46716
3,1,3,3,46782
2,4,0,4,46788
2,0,7,1,46800
1,3,4,2,46806
0,6,1,3,46812
0,2,8,0,46824
4,1,1,4,46872
3,0,5,2,46890
2,3,2,3,46896
1,2,6,1,46914
0,5,3,2,46920
0,1,0,10,46932
4,0,3,3,46980
3,3,0,4,46986
2,2,4,2,47004
1,5,1,3,47010
1,1,8,0,47022
0,4,5,1,47028
0,0,2,9,47040
5,0,1,4,47070
3,2,2,3,47094
2,1,6,1,47112
1,4,3,2,47118
0,7,0,3,47124
1,0,0,10,47130
0,3,7,0,47136
4,2,0,4,47184
3,1,4,2,47202
2,4,1,3,47208
2,0,8,0,47220
1,3,5,1,47226
0,6,2,2,47232
4,1,2,3,47292
3,0,6,1,47310
2,3,3,2,47316
1,6,0,3,47322
1,2,7,0,47334
0,5,4,1,47340
0,1,1,9,47352
5,1,0,4,47382
4,0,4,2,47400
3,3,1,3,47406
2,2,5,1,47424
1,5,2,2,47430
0,4,6,0,47448
0,0,3,8,47460
5,0,2,3,47490
3,2,3,2,47514
2,5,0,3,47520
2,1,7,0,47532
1,4,4,1,47538
0,7,1,2,47544
1,0,1,9,47550
6,0,0,4,47580
4,2,1,3,47604
3,1,5,1,47622
2,4,2,2,47628
1,3,6,0,47646
0,6,3,1,47652
0,2,0,9,47664
4,1,3,2,47712
3,4,0,3,47718
3,0,7,0,47730
2,3,4,1,47736
1,6,1,2,47742
0,5,5,0,47760
0,1,2,8,47772
5,1,1,3,47802
4,0,5,1,47820
3,3,2,2,47826
2,2,6,0,47844
1,5,3,1,47850
0,8,0,2,47856
1,1,0,9,47862
0,0,4,7,47880
5,0,3,2,47910
4,3,0,3,47916
3,2,4,1,47934
2,5,1,2,47940
1,4,5,0,47958
0,7,2,1,47964
1,0,2,8,47970
6,0,1,3,48000
4,2,2,2,48024
3,1,6,0,48042
2,4,3,1,48048
1,7,0,2,48054
2,0,0,9,48060
0,6,4,0,48072
0,2,1,8,48084
5,2,0,3,48114
4,1,4,1,48132
3,4,1,2,48138
2,3,5,0,48156
1,6,2,1,48162
0,1,3,7,48192
5,1,2,2,48222
4,0,6,0,48240
3,3,3,1,48246
2,6,0,2,48252
1,5,4,0,48270
0,8,1,1,48276
1,1,1,8,48282
0,0,5,6,48300
6,1,0,3,48312
5,0,4,1,48330
4,3,1,2,48336
3,2,5,0,48354
2,5,2,1,48360
0,7,3,0,48384
1,0,3,7,48390
0,3,0,8,48396
6,0,2,2,48420
4,2,3,1,48444
3,5,0,2,48450
2,4,4,0,48468
1,7,1,1,48474
2,0,1,8,48480
0,2,2,7,48504
7,0,0,3,48510
5,2,1,2,48534
4,1,5,0,48552
3,4,2,1,48558
1,6,3,0,48582
0,9,0,1,48588
1,2,0,8,48594
0,1,4,6,48612
5,1,3,1,48642
4,4,0,2,48648
3,3,4,0,48666
2,6,1,1,48672
0,8,2,0,48696
1,1,2,7,48702
0,0,6,5,48720
6,1,1,2,48732
5,0,5,0,48750
4,3,2,1,48756
2,5,3,0,48780
1,8,0,1,48786
2,1,0,8,48792
1,0,4,6,48810
0,3,1,7,48816
6,0,3,1,48840
5,3,0,2,48846
4,2,4,0,48864
3,5,1,1,48870
1,7,2,0,48894
2,0,2,7,48900
0,2,3,6,48924
7,0,1,2,48930
5,2,2,1,48954
3,4,3,0,48978
2,7,0,1,48984
3,0,0,8,48990
0,9,1,0,49008
1,2,1,7,49014
0,1,5,5,49032
6,2,0,2,49044
5,1,4,0,49062
4,4,1,1,49068
2,6,2,0,49092
1,1,3,6,49122
0,4,0,7,49128
0,0,7,4,49140
6,1,2,1,49152
4,3,3,0,49176
3,6,0,1,49182
1,8,1,0,49206
2,1,1,7,49212
1,0,5,5,49230
0,3,2,6,49236
7,1,0,2,49242
6,0,4,0,49260
5,3,1,1,49266
3,5,2,0,49290
2,0,3,6,49320
1,3,0,7,49326
0,2,4,5,49344
7,0,2,1,49350
5,2,3,0,49374
4,5,0,1,49380
2,7,1,0,49404
3,0,1,7,49410
1,2,2,6,49434
8,0,0,2,49440
0,1,6,4,49452
6,2,1,1,49464
4,4,2,0,49488
1,9,0,0,49518
2,2,0,7,49524
1,1,4,5,49542
0,4,1,6,49548
0,0,8,3,49560
6,1,3,0,49572
5,4,0,1,49578
3,6,1,0,49602
2,1,2,6,49632
1,0,6,4,49650
0,3,3,5,49656
7,1,1,1,49662
5,3,2,0,49686
2,8,0,0,49716
3,1,0,7,49722
2,0,4,5,49740
1,3,1,6,49746
0,2,5,4,49764
7,0,3,0,49770
6,3,0,1,49776
4,5,1,0,49800
3,0,2,6,49830
1,2,3,5,49854
0,5,0,6,49860
8,0,1,1,49860
0,1,7,3,49872
6,2,2,0,49884
3,7,0,0,49914
4,0,0,7,49920
2,2,1,6,49944
1,1,5,4,49962
0,4,2,5,49968
7,2,0,1,49974
0,0,9,2,49980
5,4,1,0,49998
2,1,3,5,50052
1,4,0,6,50058
1,0,7,3,50070
0,3,4,4,50076
7,1,2,0,50082
4,6,0,0,50112
3,1,1,6,50142
2,0,5,4,50160
1,3,2,5,50166
8,1,0,1,50172
0,2,6,3,50184
6,3,1,0,50196
3,0,3,5,50250
2,3,0,6,50256
1,2,4,4,50274
0,5,1,5,50280
8,0,2,0,50280
0,1,8,2,50292
5,5,0,0,50310
4,0,1,6,50340
2,2,2,5,50364
9,0,0,1,50370
1,1,6,3,50382
0,4,3,4,50388
7,2,1,0,50394
3,2,0,6,50454
2,1,4,4,50472
1,4,1,5,50478
1,0,8,2,50490
0,3,5,3,50496
6,4,0,0,50508
3,1,2,5,50562
2,0,6,3,50580
1,3,3,4,50586
0,6,0,5,50592
8,1,1,0,50592
0,2,7,2,50604
4,1,0,6,50652
3,0,4,4,50670
2,3,1,5,50676
1,2,5,3,50694
0,5,2,4,50700
7,3,0,0,50706
0,1,9,1,50712
4,0,2,5,50760
2,2,3,4,50784
1,5,0,5,50790
9,0,1,0,50790
1,1,7,2,50802
0,4,4,3,50808
5,0,0,6,50850
3,2,1,5,50874
2,1,5,3,50892
1,4,2,4,50898
8,2,0,0,50904
1,0,9,1,50910
0,3,6,2,50916
3,1,3,4,50982
2,4,0,5,50988
2,0,7,2,51000
1,3,4,3,51006
0,6,1,4,51012
0,2,8,1,51024
4,1,1,5,51072
3,0,5,3,51090
2,3,2,4,51096
9,1,0,0,51102
1,2,6,2,51114
0,5,3,3,51120
4,0,3,4,51180
3,3,0,5,51186
2,2,4,3,51204
1,5,1,4,51210
1,1,8,1,51222
0,4,5,2,51228
0,0,2,10,51240
5,0,1,5,51270
3,2,2,4,51294
2,1,6,2,51312
1,4,3,3,51318
0,7,0,4,51324
0,3,7,1,51336
4,2,0,5,51384
3,1,4,3,51402
2,4,1,4,51408
2,0,8,1,51420
1,3,5,2,51426
0,6,2,3,51432
0,2,9,0,51444
4,1,2,4,51492
3,0,6,2,51510
2,3,3,3,51516
1,6,0,4,51522
1,2,7,1,51534
0,5,4,2,51540
0,1,1,10,51552
5,1,0,5,51582
4,0,4,3,51600
3,3,1,4,51606
2,2,5,2,51624
1,5,2,3,51630
1,1,9,0,51642
0,4,6,1,51648
0,0,3,9,51660
5,0,2,4,51690
3,2,3,3,51714
2,5,0,4,51720
2,1,7,1,51732
1,4,4,2,51738
0,7,1,3,51744
1,0,1,10,51750
0,3,8,0,51756
6,0,0,5,51780
4,2,1,4,51804
3,1,5,2,51822
2,4,2,3,51828
2,0,9,0,51840
1,3,6,1,51846
0,6,3,2,51852
0,2,0,10,51864
4,1,3,3,51912
3,4,0,4,51918
3,0,7,1,51930
2,3,4,2,51936
1,6,1,3,51942
1,2,8,0,51954
0,5,5,1,51960
0,1,2,9,51972
5,1,1,4,52002
4,0,5,2,52020
3,3,2,3,52026
2,2,6,1,52044
1,5,3,2,52050
0,8,0,3,52056
1,1,0,10,52062
0,4,7,0,52068
0,0,4,8,52080
5,0,3,3,52110
4,3,0,4,52116
3,2,4,2,52134
2,5,1,3,52140
2,1,8,0,52152
1,4,5,1,52158
0,7,2,2,52164
1,0,2,9,52170
6,0,1,4,52200
4,2,2,3,52224
3,1,6,1,52242
2,4,3,2,52248
1,7,0,3,52254
2,0,0,10,52260
1,3,7,0,52266
0,6,4,1,52272
0,2,1,9,52284
5,2,0,4,52314
4,1,4,2,52332
3,4,1,3,52338
3,0,8,0,52350
2,3,5,1,52356
1,6,2,2,52362
0,5,6,0,52380
0,1,3,8,52392
5,1,2,3,52422
4,0,6,1,52440
3,3,3,2,52446
2,6,0,3,52452
2,2,7,0,52464
1,5,4,1,52470
0,8,1,2,52476
1,1,1,9,52482
0,0,5,7,52500
6,1,0,4,52512
5,0,4,2,52530
4,3,1,3,52536
3,2,5,1,52554
2,5,2,2,52560
1,4,6,0,52578
0,7,3,1,52584
1,0,3,8,52590
0,3,0,9,52596
6,0,2,3,52620
4,2,3,2,52644
3,5,0,3,52650
3,1,7,0,52662
2,4,4,1,52668
1,7,1,2,52674
2,0,1,9,52680
0,6,5,0,52692
0,2,2,8,52704
7,0,0,4,52710
5,2,1,3,52734
4,1,5,1,52752
3,4,2,2,52758
2,3,6,0,52776
1,6,3,1,52782
0,9,0,2,52788
1,2,0,9,52794
0,1,4,7,52812
5,1,3,2,52842
4,4,0,3,52848
4,0,7,0,52860
3,3,4,1,52866
2,6,1,2,52872
1,5,5,0,52890
0,8,2,1,52896
1,1,2,8,52902
0,0,6,6,52920
6,1,1,3,52932
5,0,5,1,52950
4,3,2,2,52956
3,2,6,0,52974
2,5,3,1,52980
1,8,0,2,52986
2,1,0,9,52992
0,7,4,0,53004
1,0,4,7,53010
0,3,1,8,53016
6,0,3,2,53040
