2m,4m,6m,mm,,,,,,,,,,
5,0,0,0,710,,,,,,,,,
0,0,4,0,720,,,,,,,,,
0,1,2,1,721,,,,,,,,,
0,2,0,2,722,,,,,,,,,
1,0,1,2,722,,,,,,,,,
4,1,0,0,729,,,,,,,,,
0,0,3,1,740,,,,,,,,,
0,1,1,2,741,,,,,,,,,
1,0,0,3,742,,,,,,,,,
3,2,0,0,748,,,,,,,,,
4,0,1,0,748,,,,,,,,,
0,0,2,2,760,,,,,,,,,
0,1,0,3,761,,,,,,,,,
2,3,0,0,767,,,,,,,,,
3,1,1,0,767,,,,,,,,,
4,0,0,1,768,,,,,,,,,
0,0,1,3,780,,,,,,,,,
1,4,0,0,786,,,,,,,,,
2,2,1,0,786,,,,,,,,,
3,0,2,0,786,,,,,,,,,
3,1,0,1,787,,,,,,,,,
0,0,0,4,800,,,,,,,,,
0,5,0,0,805,,,,,,,,,
1,3,1,0,805,,,,,,,,,
2,1,2,0,805,,,,,,,,,
2,2,0,1,806,,,,,,,,,
3,0,1,1,806,,,,,,,,,
0,4,1,0,824,,,,,,,,,
1,2,2,0,824,,,,,,,,,
2,0,3,0,824,,,,,,,,,
1,3,0,1,825,,,,,,,,,
2,1,1,1,825,,,,,,,,,
3,0,0,2,826,,,,,,,,,
0,3,2,0,843,,,,,,,,,
1,1,3,0,843,,,,,,,,,
0,4,0,1,844,,,,,,,,,
1,2,1,1,844,,,,,,,,,
2,0,2,1,844,,,,,,,,,
2,1,0,2,845,,,,,,,,,
6,0,0,0,852,,,,,,,,,
0,2,3,0,862,,,,,,,,,
1,0,4,0,862,,,,,,,,,
0,3,1,1,863,,,,,,,,,
1,1,2,1,863,,,,,,,,,
1,2,0,2,864,,,,,,,,,
2,0,1,2,864,,,,,,,,,
5,1,0,0,871,,,,,,,,,
0,1,4,0,881,,,,,,,,,
0,2,2,1,882,,,,,,,,,
1,0,3,1,882,,,,,,,,,
0,3,0,2,883,,,,,,,,,
1,1,1,2,883,,,,,,,,,
2,0,0,3,884,,,,,,,,,
4,2,0,0,890,,,,,,,,,
5,0,1,0,890,,,,,,,,,
0,0,5,0,900,,,,,,,,,
0,1,3,1,901,,,,,,,,,
0,2,1,2,902,,,,,,,,,
1,0,2,2,902,,,,,,,,,
1,1,0,3,903,,,,,,,,,
3,3,0,0,909,,,,,,,,,
4,1,1,0,909,,,,,,,,,
5,0,0,1,910,,,,,,,,,
0,0,4,1,920,,,,,,,,,
0,1,2,2,921,,,,,,,,,
0,2,0,3,922,,,,,,,,,
1,0,1,3,922,,,,,,,,,
2,4,0,0,928,,,,,,,,,
3,2,1,0,928,,,,,,,,,
4,0,2,0,928,,,,,,,,,
4,1,0,1,929,,,,,,,,,
0,0,3,2,940,,,,,,,,,
0,1,1,3,941,,,,,,,,,
1,0,0,4,942,,,,,,,,,
1,5,0,0,947,,,,,,,,,
2,3,1,0,947,,,,,,,,,
3,1,2,0,947,,,,,,,,,
3,2,0,1,948,,,,,,,,,
4,0,1,1,948,,,,,,,,,
0,0,2,3,960,,,,,,,,,
0,1,0,4,961,,,,,,,,,
0,6,0,0,966,,,,,,,,,
1,4,1,0,966,,,,,,,,,
2,2,2,0,966,,,,,,,,,
3,0,3,0,966,,,,,,,,,
2,3,0,1,967,,,,,,,,,
3,1,1,1,967,,,,,,,,,
4,0,0,2,968,,,,,,,,,
0,0,1,4,980,,,,,,,,,
0,5,1,0,985,,,,,,,,,
1,3,2,0,985,,,,,,,,,
2,1,3,0,985,,,,,,,,,
1,4,0,1,986,,,,,,,,,
2,2,1,1,986,,,,,,,,,
3,0,2,1,986,,,,,,,,,
3,1,0,2,987,,,,,,,,,
7,0,0,0,994,,,,,,,,,
0,0,0,5,1000,,,,,,,,,
0,4,2,0,1004,,,,,,,,,
1,2,3,0,1004,,,,,,,,,
2,0,4,0,1004,,,,,,,,,
0,5,0,1,1005,,,,,,,,,
1,3,1,1,1005,,,,,,,,,
2,1,2,1,1005,,,,,,,,,
2,2,0,2,1006,,,,,,,,,
3,0,1,2,1006,,,,,,,,,
6,1,0,0,1013,,,,,,,,,
0,3,3,0,1023,,,,,,,,,
1,1,4,0,1023,,,,,,,,,
0,4,1,1,1024,,,,,,,,,
1,2,2,1,1024,,,,,,,,,
2,0,3,1,1024,,,,,,,,,
1,3,0,2,1025,,,,,,,,,
2,1,1,2,1025,,,,,,,,,
3,0,0,3,1026,,,,,,,,,
5,2,0,0,1032,,,,,,,,,
6,0,1,0,1032,,,,,,,,,
0,2,4,0,1042,,,,,,,,,
1,0,5,0,1042,,,,,,,,,
0,3,2,1,1043,,,,,,,,,
1,1,3,1,1043,,,,,,,,,
0,4,0,2,1044,,,,,,,,,
1,2,1,2,1044,,,,,,,,,
2,0,2,2,1044,,,,,,,,,
2,1,0,3,1045,,,,,,,,,
4,3,0,0,1051,,,,,,,,,
5,1,1,0,1051,,,,,,,,,
6,0,0,1,1052,,,,,,,,,
0,1,5,0,1061,,,,,,,,,
0,2,3,1,1062,,,,,,,,,
1,0,4,1,1062,,,,,,,,,
0,3,1,2,1063,,,,,,,,,
1,1,2,2,1063,,,,,,,,,
1,2,0,3,1064,,,,,,,,,
2,0,1,3,1064,,,,,,,,,
3,4,0,0,1070,,,,,,,,,
4,2,1,0,1070,,,,,,,,,
5,0,2,0,1070,,,,,,,,,
5,1,0,1,1071,,,,,,,,,
0,0,6,0,1080,,,,,,,,,
0,1,4,1,1081,,,,,,,,,
0,2,2,2,1082,,,,,,,,,
1,0,3,2,1082,,,,,,,,,
0,3,0,3,1083,,,,,,,,,
1,1,1,3,1083,,,,,,,,,
2,0,0,4,1084,,,,,,,,,
2,5,0,0,1089,,,,,,,,,
3,3,1,0,1089,,,,,,,,,
4,1,2,0,1089,,,,,,,,,
4,2,0,1,1090,,,,,,,,,
5,0,1,1,1090,,,,,,,,,
0,0,5,1,1100,,,,,,,,,
0,1,3,2,1101,,,,,,,,,
0,2,1,3,1102,,,,,,,,,
1,0,2,3,1102,,,,,,,,,
1,1,0,4,1103,,,,,,,,,
1,6,0,0,1108,,,,,,,,,
2,4,1,0,1108,,,,,,,,,
3,2,2,0,1108,,,,,,,,,
4,0,3,0,1108,,,,,,,,,
3,3,0,1,1109,,,,,,,,,
4,1,1,1,1109,,,,,,,,,
5,0,0,2,1110,,,,,,,,,
0,0,4,2,1120,,,,,,,,,
0,1,2,3,1121,,,,,,,,,
0,2,0,4,1122,,,,,,,,,
1,0,1,4,1122,,,,,,,,,
0,7,0,0,1127,,,,,,,,,
1,5,1,0,1127,,,,,,,,,
2,3,2,0,1127,,,,,,,,,
3,1,3,0,1127,,,,,,,,,
2,4,0,1,1128,,,,,,,,,
3,2,1,1,1128,,,,,,,,,
4,0,2,1,1128,,,,,,,,,
4,1,0,2,1129,,,,,,,,,
8,0,0,0,1136,,,,,,,,,
0,0,3,3,1140,,,,,,,,,
0,1,1,4,1141,,,,,,,,,
1,0,0,5,1142,,,,,,,,,
0,6,1,0,1146,,,,,,,,,
1,4,2,0,1146,,,,,,,,,
2,2,3,0,1146,,,,,,,,,
3,0,4,0,1146,,,,,,,,,
1,5,0,1,1147,,,,,,,,,
2,3,1,1,1147,,,,,,,,,
3,1,2,1,1147,,,,,,,,,
3,2,0,2,1148,,,,,,,,,
4,0,1,2,1148,,,,,,,,,
7,1,0,0,1155,,,,,,,,,
0,0,2,4,1160,,,,,,,,,
0,1,0,5,1161,,,,,,,,,
0,5,2,0,1165,,,,,,,,,
1,3,3,0,1165,,,,,,,,,
2,1,4,0,1165,,,,,,,,,
0,6,0,1,1166,,,,,,,,,
1,4,1,1,1166,,,,,,,,,
2,2,2,1,1166,,,,,,,,,
3,0,3,1,1166,,,,,,,,,
2,3,0,2,1167,,,,,,,,,
3,1,1,2,1167,,,,,,,,,
4,0,0,3,1168,,,,,,,,,
6,2,0,0,1174,,,,,,,,,
7,0,1,0,1174,,,,,,,,,
0,0,1,5,1180,,,,,,,,,
0,4,3,0,1184,,,,,,,,,
1,2,4,0,1184,,,,,,,,,
2,0,5,0,1184,,,,,,,,,
0,5,1,1,1185,,,,,,,,,
1,3,2,1,1185,,,,,,,,,
2,1,3,1,1185,,,,,,,,,
1,4,0,2,1186,,,,,,,,,
2,2,1,2,1186,,,,,,,,,
3,0,2,2,1186,,,,,,,,,
3,1,0,3,1187,,,,,,,,,
5,3,0,0,1193,,,,,,,,,
6,1,1,0,1193,,,,,,,,,
7,0,0,1,1194,,,,,,,,,
0,0,0,6,1200,,,,,,,,,
0,3,4,0,1203,,,,,,,,,
1,1,5,0,1203,,,,,,,,,
0,4,2,1,1204,,,,,,,,,
1,2,3,1,1204,,,,,,,,,
2,0,4,1,1204,,,,,,,,,
0,5,0,2,1205,,,,,,,,,
1,3,1,2,1205,,,,,,,,,
2,1,2,2,1205,,,,,,,,,
2,2,0,3,1206,,,,,,,,,
3,0,1,3,1206,,,,,,,,,
4,4,0,0,1212,,,,,,,,,
5,2,1,0,1212,,,,,,,,,
6,0,2,0,1212,,,,,,,,,
6,1,0,1,1213,,,,,,,,,
0,2,5,0,1222,,,,,,,,,
1,0,6,0,1222,,,,,,,,,
0,3,3,1,1223,,,,,,,,,
1,1,4,1,1223,,,,,,,,,
0,4,1,2,1224,,,,,,,,,
1,2,2,2,1224,,,,,,,,,
2,0,3,2,1224,,,,,,,,,
1,3,0,3,1225,,,,,,,,,
2,1,1,3,1225,,,,,,,,,
3,0,0,4,1226,,,,,,,,,
3,5,0,0,1231,,,,,,,,,
4,3,1,0,1231,,,,,,,,,
5,1,2,0,1231,,,,,,,,,
5,2,0,1,1232,,,,,,,,,
6,0,1,1,1232,,,,,,,,,
0,1,6,0,1241,,,,,,,,,
0,2,4,1,1242,,,,,,,,,
1,0,5,1,1242,,,,,,,,,
0,3,2,2,1243,,,,,,,,,
1,1,3,2,1243,,,,,,,,,
0,4,0,3,1244,,,,,,,,,
1,2,1,3,1244,,,,,,,,,
2,0,2,3,1244,,,,,,,,,
2,1,0,4,1245,,,,,,,,,
2,6,0,0,1250,,,,,,,,,
3,4,1,0,1250,,,,,,,,,
4,2,2,0,1250,,,,,,,,,
5,0,3,0,1250,,,,,,,,,
4,3,0,1,1251,,,,,,,,,
5,1,1,1,1251,,,,,,,,,
6,0,0,2,1252,,,,,,,,,
0,0,7,0,1260,,,,,,,,,
0,1,5,1,1261,,,,,,,,,
0,2,3,2,1262,,,,,,,,,
1,0,4,2,1262,,,,,,,,,
0,3,1,3,1263,,,,,,,,,
1,1,2,3,1263,,,,,,,,,
1,2,0,4,1264,,,,,,,,,
2,0,1,4,1264,,,,,,,,,
1,7,0,0,1269,,,,,,,,,
2,5,1,0,1269,,,,,,,,,
3,3,2,0,1269,,,,,,,,,
4,1,3,0,1269,,,,,,,,,
3,4,0,1,1270,,,,,,,,,
4,2,1,1,1270,,,,,,,,,
5,0,2,1,1270,,,,,,,,,
5,1,0,2,1271,,,,,,,,,
9,0,0,0,1278,,,,,,,,,
0,0,6,1,1280,,,,,,,,,
0,1,4,2,1281,,,,,,,,,
0,2,2,3,1282,,,,,,,,,
1,0,3,3,1282,,,,,,,,,
0,3,0,4,1283,,,,,,,,,
1,1,1,4,1283,,,,,,,,,
2,0,0,5,1284,,,,,,,,,
0,8,0,0,1288,,,,,,,,,
1,6,1,0,1288,,,,,,,,,
2,4,2,0,1288,,,,,,,,,
3,2,3,0,1288,,,,,,,,,
4,0,4,0,1288,,,,,,,,,
2,5,0,1,1289,,,,,,,,,
3,3,1,1,1289,,,,,,,,,
4,1,2,1,1289,,,,,,,,,
4,2,0,2,1290,,,,,,,,,
5,0,1,2,1290,,,,,,,,,
8,1,0,0,1297,,,,,,,,,
0,0,5,2,1300,,,,,,,,,
0,1,3,3,1301,,,,,,,,,
0,2,1,4,1302,,,,,,,,,
1,0,2,4,1302,,,,,,,,,
1,1,0,5,1303,,,,,,,,,
0,7,1,0,1307,,,,,,,,,
1,5,2,0,1307,,,,,,,,,
2,3,3,0,1307,,,,,,,,,
3,1,4,0,1307,,,,,,,,,
1,6,0,1,1308,,,,,,,,,
2,4,1,1,1308,,,,,,,,,
3,2,2,1,1308,,,,,,,,,
4,0,3,1,1308,,,,,,,,,
3,3,0,2,1309,,,,,,,,,
4,1,1,2,1309,,,,,,,,,
5,0,0,3,1310,,,,,,,,,
7,2,0,0,1316,,,,,,,,,
8,0,1,0,1316,,,,,,,,,
0,0,4,3,1320,,,,,,,,,
0,1,2,4,1321,,,,,,,,,
0,2,0,5,1322,,,,,,,,,
1,0,1,5,1322,,,,,,,,,
0,6,2,0,1326,,,,,,,,,
1,4,3,0,1326,,,,,,,,,
2,2,4,0,1326,,,,,,,,,
3,0,5,0,1326,,,,,,,,,
0,7,0,1,1327,,,,,,,,,
1,5,1,1,1327,,,,,,,,,
2,3,2,1,1327,,,,,,,,,
3,1,3,1,1327,,,,,,,,,
2,4,0,2,1328,,,,,,,,,
3,2,1,2,1328,,,,,,,,,
4,0,2,2,1328,,,,,,,,,
4,1,0,3,1329,,,,,,,,,
6,3,0,0,1335,,,,,,,,,
7,1,1,0,1335,,,,,,,,,
8,0,0,1,1336,,,,,,,,,
0,0,3,4,1340,,,,,,,,,
0,1,1,5,1341,,,,,,,,,
1,0,0,6,1342,,,,,,,,,
0,5,3,0,1345,,,,,,,,,
1,3,4,0,1345,,,,,,,,,
2,1,5,0,1345,,,,,,,,,
0,6,1,1,1346,,,,,,,,,
1,4,2,1,1346,,,,,,,,,
2,2,3,1,1346,,,,,,,,,
3,0,4,1,1346,,,,,,,,,
1,5,0,2,1347,,,,,,,,,
2,3,1,2,1347,,,,,,,,,
3,1,2,2,1347,,,,,,,,,
3,2,0,3,1348,,,,,,,,,
4,0,1,3,1348,,,,,,,,,
5,4,0,0,1354,,,,,,,,,
6,2,1,0,1354,,,,,,,,,
7,0,2,0,1354,,,,,,,,,
7,1,0,1,1355,,,,,,,,,
0,0,2,5,1360,,,,,,,,,
0,1,0,6,1361,,,,,,,,,
0,4,4,0,1364,,,,,,,,,
1,2,5,0,1364,,,,,,,,,
2,0,6,0,1364,,,,,,,,,
0,5,2,1,1365,,,,,,,,,
1,3,3,1,1365,,,,,,,,,
2,1,4,1,1365,,,,,,,,,
0,6,0,2,1366,,,,,,,,,
1,4,1,2,1366,,,,,,,,,
2,2,2,2,1366,,,,,,,,,
3,0,3,2,1366,,,,,,,,,
2,3,0,3,1367,,,,,,,,,
3,1,1,3,1367,,,,,,,,,
4,0,0,4,1368,,,,,,,,,
4,5,0,0,1373,,,,,,,,,
5,3,1,0,1373,,,,,,,,,
6,1,2,0,1373,,,,,,,,,
6,2,0,1,1374,,,,,,,set,,
7,0,1,1,1374,,,12月19日,,,,4200,,
0,0,1,6,1380,,,41890,destoni,45000,,4620,,
0,3,5,0,1383,,,,,3110,,4932,,
1,1,6,0,1383,,,,,,,5130,,
0,4,3,1,1384,,,,,,,,,
1,2,4,1,1384,,,,,,,,,
2,0,5,1,1384,,,,,,,,,
0,5,1,2,1385,,,,,,,,,
1,3,2,2,1385,,,,,,,,,
2,1,3,2,1385,,,,,,,,,
1,4,0,3,1386,,,,,,,,,
2,2,1,3,1386,,,,,,,,,
3,0,2,3,1386,,,,,,,,,
3,1,0,4,1387,,,,,,,,,
3,6,0,0,1392,,,,,,,,,
4,4,1,0,1392,,,,,,,,,
5,2,2,0,1392,,,,,,,,,
6,0,3,0,1392,,,,,,,,,
5,3,0,1,1393,,,,,,,,,
6,1,1,1,1393,,,,,,,,,
7,0,0,2,1394,,,,,,,,,
0,0,0,7,1400,,,,,,,,,
0,2,6,0,1402,,,,,,,,,
1,0,7,0,1402,,,,,,,,,
0,3,4,1,1403,,,,,,,,,
1,1,5,1,1403,,,,,,,,,
0,4,2,2,1404,,,,,,,,,
1,2,3,2,1404,,,,,,,,,
2,0,4,2,1404,,,,,,,,,
0,5,0,3,1405,,,,,,,,,
1,3,1,3,1405,,,,,,,,,
2,1,2,3,1405,,,,,,,,,
2,2,0,4,1406,,,,,,,,,
3,0,1,4,1406,,,,,,,,,
2,7,0,0,1411,,,,,,,,,
3,5,1,0,1411,,,,,,,,,
4,3,2,0,1411,,,,,,,,,
5,1,3,0,1411,,,,,,,,,
4,4,0,1,1412,,,,,,,,,
5,2,1,1,1412,,,,,,,,,
6,0,2,1,1412,,,,,,,,,
6,1,0,2,1413,,,,,,,,,
0,1,7,0,1421,,,,,,,,,
0,2,5,1,1422,,,,,,,,,
1,0,6,1,1422,,,,,,,,,
0,3,3,2,1423,,,,,,,,,
1,1,4,2,1423,,,,,,,,,
0,4,1,3,1424,,,,,,,,,
1,2,2,3,1424,,,,,,,,,
2,0,3,3,1424,,,,,,,,,
1,3,0,4,1425,,,,,,,,,
2,1,1,4,1425,,,,,,,,,
3,0,0,5,1426,,,,,,,,,
1,8,0,0,1430,,,,,,,,,
2,6,1,0,1430,,,,,,,,,
3,4,2,0,1430,,,,,,,,,
4,2,3,0,1430,,,,,,,,,
5,0,4,0,1430,,,,,,,,,
3,5,0,1,1431,,,,,,,,,
4,3,1,1,1431,,,,,,,,,
5,1,2,1,1431,,,,,,,,,
5,2,0,2,1432,,,,,,,,,
6,0,1,2,1432,,,,,,,,,
9,1,0,0,1439,,,,,,,,,
0,0,8,0,1440,,,,,,,,,
0,1,6,1,1441,,,,,,,,,
0,2,4,2,1442,,,,,,,,,
1,0,5,2,1442,,,,,,,,,
0,3,2,3,1443,,,,,,,,,
1,1,3,3,1443,,,,,,,,,
0,4,0,4,1444,,,,,,,,,
1,2,1,4,1444,,,,,,,,,
2,0,2,4,1444,,,,,,,,,
2,1,0,5,1445,,,,,,,,,
0,9,0,0,1449,,,,,,,,,
1,7,1,0,1449,,,,,,,,,
2,5,2,0,1449,,,,,,,,,
3,3,3,0,1449,,,,,,,,,
4,1,4,0,1449,,,,,,,,,
2,6,0,1,1450,,,,,,,,,
3,4,1,1,1450,,,,,,,,,
4,2,2,1,1450,,,,,,,,,
5,0,3,1,1450,,,,,,,,,
4,3,0,2,1451,,,,,,,,,
5,1,1,2,1451,,,,,,,,,
6,0,0,3,1452,,,,,,,,,
8,2,0,0,1458,,,,,,,,,
9,0,1,0,1458,,,,,,,,,
0,0,7,1,1460,,,,,,,,,
0,1,5,2,1461,,,,,,,,,
0,2,3,3,1462,,,,,,,,,
1,0,4,3,1462,,,,,,,,,
0,3,1,4,1463,,,,,,,,,
1,1,2,4,1463,,,,,,,,,
1,2,0,5,1464,,,,,,,,,
2,0,1,5,1464,,,,,,,,,
0,8,1,0,1468,,,,,,,,,
1,6,2,0,1468,,,,,,,,,
2,4,3,0,1468,,,,,,,,,
3,2,4,0,1468,,,,,,,,,
4,0,5,0,1468,,,,,,,,,
1,7,0,1,1469,,,,,,,,,
2,5,1,1,1469,,,,,,,,,
3,3,2,1,1469,,,,,,,,,
4,1,3,1,1469,,,,,,,,,
3,4,0,2,1470,,,,,,,,,
4,2,1,2,1470,,,,,,,,,
5,0,2,2,1470,,,,,,,,,
5,1,0,3,1471,,,,,,,,,
7,3,0,0,1477,,,,,,,,,
8,1,1,0,1477,,,,,,,,,
9,0,0,1,1478,,,,,,,,,
0,0,6,2,1480,,,,,,,,,
0,1,4,3,1481,,,,,,,,,
0,2,2,4,1482,,,,,,,,,
1,0,3,4,1482,,,,,,,,,
0,3,0,5,1483,,,,,,,,,
1,1,1,5,1483,,,,,,,,,
2,0,0,6,1484,,,,,,,,,
0,7,2,0,1487,,,,,,,,,
1,5,3,0,1487,,,,,,,,,
2,3,4,0,1487,,,,,,,,,
3,1,5,0,1487,,,,,,,,,
0,8,0,1,1488,,,,,,,,,
1,6,1,1,1488,,,,,,,,,
2,4,2,1,1488,,,,,,,,,
3,2,3,1,1488,,,,,,,,,
4,0,4,1,1488,,,,,,,,,
2,5,0,2,1489,,,,,,,,,
3,3,1,2,1489,,,,,,,,,
4,1,2,2,1489,,,,,,,,,
4,2,0,3,1490,,,,,,,,,
5,0,1,3,1490,,,,,,,,,
6,4,0,0,1496,,,,,,,,,
7,2,1,0,1496,,,,,,,,,
8,0,2,0,1496,,,,,,,,,
8,1,0,1,1497,,,,,,,,,
0,0,5,3,1500,,,,,,,,,
0,1,3,4,1501,,,,,,,,,
0,2,1,5,1502,,,,,,,,,
1,0,2,5,1502,,,,,,,,,
1,1,0,6,1503,,,,,,,,,
0,6,3,0,1506,,,,,,,,,
1,4,4,0,1506,,,,,,,,,
2,2,5,0,1506,,,,,,,,,
3,0,6,0,1506,,,,,,,,,
0,7,1,1,1507,,,,,,,,,
1,5,2,1,1507,,,,,,,,,
2,3,3,1,1507,,,,,,,,,
3,1,4,1,1507,,,,,,,,,
1,6,0,2,1508,,,,,,,,,
2,4,1,2,1508,,,,,,,,,
3,2,2,2,1508,,,,,,,,,
4,0,3,2,1508,,,,,,,,,
3,3,0,3,1509,,,,,,,,,
4,1,1,3,1509,,,,,,,,,
5,0,0,4,1510,,,,,,,,,
5,5,0,0,1515,,,,,,,,,
6,3,1,0,1515,,,,,,,,,
7,1,2,0,1515,,,,,,,,,
7,2,0,1,1516,,,,,,,,,
8,0,1,1,1516,,,,,,,,,
0,0,4,4,1520,,,,,,,,,
0,1,2,5,1521,,,,,,,,,
0,2,0,6,1522,,,,,,,,,
1,0,1,6,1522,,,,,,,,,
0,5,4,0,1525,,,,,,,,,
1,3,5,0,1525,,,,,,,,,
2,1,6,0,1525,,,,,,,,,
0,6,2,1,1526,,,,,,,,,
1,4,3,1,1526,,,,,,,,,
2,2,4,1,1526,,,,,,,,,
3,0,5,1,1526,,,,,,,,,
0,7,0,2,1527,,,,,,,,,
1,5,1,2,1527,,,,,,,,,
2,3,2,2,1527,,,,,,,,,
3,1,3,2,1527,,,,,,,,,
2,4,0,3,1528,,,,,,,,,
3,2,1,3,1528,,,,,,,,,
4,0,2,3,1528,,,,,,,,,
4,1,0,4,1529,,,,,,,,,
4,6,0,0,1534,,,,,,,,,
5,4,1,0,1534,,,,,,,,,
6,2,2,0,1534,,,,,,,,,
7,0,3,0,1534,,,,,,,,,
6,3,0,1,1535,,,,,,,,,
7,1,1,1,1535,,,,,,,,,
8,0,0,2,1536,,,,,,,,,
0,0,3,5,1540,,,,,,,,,
0,1,1,6,1541,,,,,,,,,
1,0,0,7,1542,,,,,,,,,
0,4,5,0,1544,,,,,,,,,
1,2,6,0,1544,,,,,,,,,
2,0,7,0,1544,,,,,,,,,
0,5,3,1,1545,,,,,,,,,
1,3,4,1,1545,,,,,,,,,
2,1,5,1,1545,,,,,,,,,
0,6,1,2,1546,,,,,,,,,
1,4,2,2,1546,,,,,,,,,
2,2,3,2,1546,,,,,,,,,
3,0,4,2,1546,,,,,,,,,
1,5,0,3,1547,,,,,,,,,
2,3,1,3,1547,,,,,,,,,
3,1,2,3,1547,,,,,,,,,
3,2,0,4,1548,,,,,,,,,
4,0,1,4,1548,,,,,,,,,
3,7,0,0,1553,,,,,,,,,
4,5,1,0,1553,,,,,,,,,
5,3,2,0,1553,,,,,,,,,
6,1,3,0,1553,,,,,,,,,
5,4,0,1,1554,,,,,,,,,
6,2,1,1,1554,,,,,,,,,
7,0,2,1,1554,,,,,,,,,
7,1,0,2,1555,,,,,,,,,
0,0,2,6,1560,,,,,,,,,
0,1,0,7,1561,,,,,,,,,
0,3,6,0,1563,,,,,,,,,
1,1,7,0,1563,,,,,,,,,
0,4,4,1,1564,,,,,,,,,
1,2,5,1,1564,,,,,,,,,
2,0,6,1,1564,,,,,,,,,
0,5,2,2,1565,,,,,,,,,
1,3,3,2,1565,,,,,,,,,
2,1,4,2,1565,,,,,,,,,
0,6,0,3,1566,,,,,,,,,
1,4,1,3,1566,,,,,,,,,
2,2,2,3,1566,,,,,,,,,
3,0,3,3,1566,,,,,,,,,
2,3,0,4,1567,,,,,,,,,
3,1,1,4,1567,,,,,,,,,
4,0,0,5,1568,,,,,,,,,
2,8,0,0,1572,,,,,,,,,
3,6,1,0,1572,,,,,,,,,
4,4,2,0,1572,,,,,,,,,
5,2,3,0,1572,,,,,,,,,
6,0,4,0,1572,,,,,,,,,
4,5,0,1,1573,,,,,,,,,
5,3,1,1,1573,,,,,,,,,
6,1,2,1,1573,,,,,,,,,
6,2,0,2,1574,,,,,,,,,
7,0,1,2,1574,,,,,,,,,
0,0,1,7,1580,,,,,,,,,
0,2,7,0,1582,,,,,,,,,
1,0,8,0,1582,,,,,,,,,
0,3,5,1,1583,,,,,,,,,
1,1,6,1,1583,,,,,,,,,
0,4,3,2,1584,,,,,,,,,
1,2,4,2,1584,,,,,,,,,
2,0,5,2,1584,,,,,,,,,
0,5,1,3,1585,,,,,,,,,
1,3,2,3,1585,,,,,,,,,
2,1,3,3,1585,,,,,,,,,
1,4,0,4,1586,,,,,,,,,
2,2,1,4,1586,,,,,,,,,
3,0,2,4,1586,,,,,,,,,
3,1,0,5,1587,,,,,,,,,
1,9,0,0,1591,,,,,,,,,
2,7,1,0,1591,,,,,,,,,
3,5,2,0,1591,,,,,,,,,
4,3,3,0,1591,,,,,,,,,
5,1,4,0,1591,,,,,,,,,
3,6,0,1,1592,,,,,,,,,
4,4,1,1,1592,,,,,,,,,
5,2,2,1,1592,,,,,,,,,
6,0,3,1,1592,,,,,,,,,
5,3,0,2,1593,,,,,,,,,
6,1,1,2,1593,,,,,,,,,
7,0,0,3,1594,,,,,,,,,
0,0,0,8,1600,,,,,,,,,
9,2,0,0,1600,,,,,,,,,
0,1,8,0,1601,,,,,,,,,
0,2,6,1,1602,,,,,,,,,
