"2m","2mp","4m","6m","mm"
1,2,2,0,0,387
0,2,1,0,1,388
2,2,0,1,0,388
0,1,4,0,0,389
1,1,2,1,0,390
0,1,1,1,1,391
2,1,0,2,0,391
0,0,4,1,0,392
6,0,1,0,0,392
1,0,2,2,0,393
5,0,0,0,1,393
0,0,1,2,1,394
2,0,0,3,0,394
4,2,0,0,0,398
3,1,2,0,0,400
2,1,1,0,1,401
4,1,0,1,0,401
1,1,0,0,2,402
2,0,4,0,0,402
1,0,3,0,1,403
3,0,2,1,0,403
0,0,2,0,2,404
2,0,1,1,1,404
4,0,0,2,0,404
1,0,0,1,2,405
1,3,1,0,0,406
0,3,0,0,1,407
0,2,3,0,0,408
1,2,1,1,0,409
0,2,0,1,1,410
0,1,3,1,0,411
6,1,0,0,0,411
1,1,1,2,0,412
0,1,0,2,1,413
5,0,2,0,0,413
0,0,3,2,0,414
4,0,1,0,1,414
6,0,0,1,0,414
1,0,1,3,0,415
3,0,0,0,2,415
0,0,0,3,1,416
3,2,1,0,0,419
2,2,0,0,1,420
2,1,3,0,0,421
1,1,2,0,1,422
3,1,1,1,0,422
0,1,1,0,2,423
1,0,5,0,0,423
2,1,0,1,1,423
0,0,4,0,1,424
2,0,3,1,0,424
8,0,0,0,0,424
1,0,2,1,1,425
1,4,0,0,0,425
3,0,1,2,0,425
0,0,1,1,2,426
2,0,0,2,1,426
0,3,2,0,0,427
1,3,0,1,0,428
0,2,2,1,0,430
1,2,0,2,0,431
5,1,1,0,0,432
0,1,2,2,0,433
4,1,0,0,1,433
1,1,0,3,0,434
4,0,3,0,0,434
3,0,2,0,1,435
5,0,1,1,0,435
0,0,2,3,0,436
2,0,1,0,2,436
4,0,0,1,1,436
1,0,0,0,3,437
1,0,0,4,0,437
3,3,0,0,0,438
2,2,2,0,0,440
1,2,1,0,1,441
3,2,0,1,0,441
0,2,0,0,2,442
1,1,4,0,0,442
0,1,3,0,1,443
2,1,2,1,0,443
0,0,6,0,0,444
1,1,1,1,1,444
3,1,0,2,0,444
0,1,0,1,2,445
1,0,4,1,0,445
7,0,1,0,0,445
0,0,3,1,1,446
0,4,1,0,0,446
2,0,2,2,0,446
6,0,0,0,1,446
1,0,1,2,1,447
3,0,0,3,0,447
0,0,0,2,2,448
0,3,1,1,0,449
5,2,0,0,0,451
0,2,1,2,0,452
4,1,2,0,0,453
3,1,1,0,1,454
5,1,0,1,0,454
0,1,1,3,0,455
2,1,0,0,2,455
3,0,4,0,0,455
2,0,3,0,1,456
4,0,2,1,0,456
1,0,2,0,2,457
3,0,1,1,1,457
5,0,0,2,0,457
0,0,1,0,3,458
0,0,1,4,0,458
2,0,0,1,2,458
2,3,1,0,0,459
1,3,0,0,1,460
1,2,3,0,0,461
0,2,2,0,1,462
2,2,1,1,0,462
0,1,5,0,0,463
1,2,0,1,1,463
1,1,3,1,0,464
7,1,0,0,0,464
0,1,2,1,1,465
0,5,0,0,0,465
2,1,1,2,0,465
0,0,5,1,0,466
1,1,0,2,1,466
6,0,2,0,0,466
1,0,3,2,0,467
5,0,1,0,1,467
7,0,0,1,0,467
0,0,2,2,1,468
0,4,0,1,0,468
2,0,1,3,0,468
4,0,0,0,2,468
1,0,0,3,1,469
0,3,0,2,0,471
4,2,1,0,0,472
3,2,0,0,1,473
0,2,0,3,0,474
3,1,3,0,0,474
2,1,2,0,1,475
4,1,1,1,0,475
1,1,1,0,2,476
2,0,5,0,0,476
3,1,0,1,1,476
0,1,0,0,3,477
0,1,0,4,0,477
1,0,4,0,1,477
3,0,3,1,0,477
9,0,0,0,0,477
0,0,3,0,2,478
2,0,2,1,1,478
2,4,0,0,0,478
4,0,1,2,0,478
1,0,1,1,2,479
3,0,0,2,1,479
0,0,0,1,3,480
0,0,0,5,0,480
1,3,2,0,0,480
0,3,1,0,1,481
2,3,0,1,0,481
0,2,4,0,0,482
1,2,2,1,0,483
0,2,1,1,1,484
2,2,0,2,0,484
0,1,4,1,0,485
6,1,1,0,0,485
1,1,2,2,0,486
5,1,0,0,1,486
0,1,1,2,1,487
2,1,0,3,0,487
5,0,3,0,0,487
0,0,4,2,0,488
4,0,2,0,1,488
6,0,1,1,0,488
1,0,2,3,0,489
3,0,1,0,2,489
5,0,0,1,1,489
0,0,1,3,1,490
2,0,0,0,3,490
2,0,0,4,0,490
4,3,0,0,0,491
3,2,2,0,0,493
2,2,1,0,1,494
4,2,0,1,0,494
1,2,0,0,2,495
2,1,4,0,0,495
1,1,3,0,1,496
3,1,2,1,0,496
0,1,2,0,2,497
1,0,6,0,0,497
2,1,1,1,1,497
4,1,0,2,0,497
0,0,5,0,1,498
1,1,0,1,2,498
2,0,4,1,0,498
8,0,1,0,0,498
1,0,3,1,1,499
1,4,1,0,0,499
3,0,2,2,0,499
7,0,0,0,1,499
0,0,2,1,2,500
0,4,0,0,1,500
2,0,1,2,1,500
4,0,0,3,0,500
0,3,3,0,0,501
1,0,0,2,2,501
1,3,1,1,0,502
0,3,0,1,1,503
0,2,3,1,0,504
6,2,0,0,0,504
1,2,1,2,0,505
0,2,0,2,1,506
5,1,2,0,0,506
0,1,3,2,0,507
4,1,1,0,1,507
6,1,0,1,0,507
1,1,1,3,0,508
3,1,0,0,2,508
4,0,4,0,0,508
0,1,0,3,1,509
3,0,3,0,1,509
5,0,2,1,0,509
0,0,3,3,0,510
2,0,2,0,2,510
4,0,1,1,1,510
6,0,0,2,0,510
1,0,1,0,3,511
1,0,1,4,0,511
3,0,0,1,2,511
0,0,0,0,4,512
0,0,0,4,1,512
3,3,1,0,0,512
2,3,0,0,1,513
2,2,3,0,0,514
1,2,2,0,1,515
3,2,1,1,0,515
0,2,1,0,2,516
1,1,5,0,0,516
2,2,0,1,1,516
0,1,4,0,1,517
2,1,3,1,0,517
8,1,0,0,0,517
0,0,7,0,0,518
1,1,2,1,1,518
1,5,0,0,0,518
3,1,1,2,0,518
0,1,1,1,2,519
1,0,5,1,0,519
2,1,0,2,1,519
7,0,2,0,0,519
0,0,4,1,1,520
0,4,2,0,0,520
2,0,3,2,0,520
6,0,1,0,1,520
8,0,0,1,0,520
1,0,2,2,1,521
1,4,0,1,0,521
3,0,1,3,0,521
5,0,0,0,2,521
0,0,1,2,2,522
2,0,0,3,1,522
0,3,2,1,0,523
1,3,0,2,0,524
5,2,1,0,0,525
0,2,2,2,0,526
4,2,0,0,1,526
1,2,0,3,0,527
4,1,3,0,0,527
3,1,2,0,1,528
5,1,1,1,0,528
0,1,2,3,0,529
2,1,1,0,2,529
3,0,5,0,0,529
4,1,0,1,1,529
1,1,0,0,3,530
1,1,0,4,0,530
2,0,4,0,1,530
4,0,3,1,0,530
1,0,3,0,2,531
3,0,2,1,1,531
3,4,0,0,0,531
5,0,1,2,0,531
0,0,2,0,3,532
0,0,2,4,0,532
2,0,1,1,2,532
4,0,0,2,1,532
1,0,0,1,3,533
1,0,0,5,0,533
2,3,2,0,0,533
1,3,1,0,1,534
3,3,0,1,0,534
0,3,0,0,2,535
1,2,4,0,0,535
0,2,3,0,1,536
2,2,2,1,0,536
0,1,6,0,0,537
1,2,1,1,1,537
3,2,0,2,0,537
0,2,0,1,2,538
1,1,4,1,0,538
7,1,1,0,0,538
0,1,3,1,1,539
0,5,1,0,0,539
2,1,2,2,0,539
6,1,0,0,1,539
0,0,6,1,0,540
1,1,1,2,1,540
3,1,0,3,0,540
6,0,3,0,0,540
0,1,0,2,2,541
1,0,4,2,0,541
5,0,2,0,1,541
7,0,1,1,0,541
0,0,3,2,1,542
0,4,1,1,0,542
2,0,2,3,0,542
4,0,1,0,2,542
6,0,0,1,1,542
1,0,1,3,1,543
3,0,0,0,3,543
3,0,0,4,0,543
0,0,0,3,2,544
5,3,0,0,0,544
0,3,1,2,0,545
4,2,2,0,0,546
3,2,1,0,1,547
5,2,0,1,0,547
0,2,1,3,0,548
2,2,0,0,2,548
3,1,4,0,0,548
2,1,3,0,1,549
4,1,2,1,0,549
1,1,2,0,2,550
2,0,6,0,0,550
3,1,1,1,1,550
5,1,0,2,0,550
0,1,1,0,3,551
0,1,1,4,0,551
1,0,5,0,1,551
2,1,0,1,2,551
3,0,4,1,0,551
9,0,1,0,0,551
0,0,4,0,2,552
2,0,3,1,1,552
2,4,1,0,0,552
4,0,2,2,0,552
8,0,0,0,1,552
1,0,2,1,2,553
1,4,0,0,1,553
3,0,1,2,1,553
5,0,0,3,0,553
0,0,1,1,3,554
0,0,1,5,0,554
1,3,3,0,0,554
2,0,0,2,2,554
0,3,2,0,1,555
2,3,1,1,0,555
0,2,5,0,0,556
1,3,0,1,1,556
1,2,3,1,0,557
7,2,0,0,0,557
0,2,2,1,1,558
0,6,0,0,0,558
2,2,1,2,0,558
0,1,5,1,0,559
1,2,0,2,1,559
6,1,2,0,0,559
1,1,3,2,0,560
5,1,1,0,1,560
7,1,0,1,0,560
0,1,2,2,1,561
0,5,0,1,0,561
2,1,1,3,0,561
4,1,0,0,2,561
5,0,4,0,0,561
0,0,5,2,0,562
1,1,0,3,1,562
4,0,3,0,1,562
6,0,2,1,0,562
1,0,3,3,0,563
3,0,2,0,2,563
5,0,1,1,1,563
7,0,0,2,0,563
0,0,2,3,1,564
0,4,0,2,0,564
2,0,1,0,3,564
2,0,1,4,0,564
4,0,0,1,2,564
1,0,0,0,4,565
1,0,0,4,1,565
4,3,1,0,0,565
3,3,0,0,1,566
0,3,0,3,0,567
3,2,3,0,0,567
2,2,2,0,1,568
4,2,1,1,0,568
1,2,1,0,2,569
2,1,5,0,0,569
3,2,0,1,1,569
0,2,0,0,3,570
0,2,0,4,0,570
1,1,4,0,1,570
3,1,3,1,0,570
9,1,0,0,0,570
0,1,3,0,2,571
1,0,7,0,0,571
2,1,2,1,1,571
2,5,0,0,0,571
4,1,1,2,0,571
0,0,6,0,1,572
1,1,1,1,2,572
2,0,5,1,0,572
3,1,0,2,1,572
8,0,2,0,0,572
0,1,0,1,3,573
0,1,0,5,0,573
1,0,4,1,1,573
1,4,2,0,0,573
3,0,3,2,0,573
7,0,1,0,1,573
9,0,0,1,0,573
0,0,3,1,2,574
0,4,1,0,1,574
2,0,2,2,1,574
2,4,0,1,0,574
4,0,1,3,0,574
6,0,0,0,2,574
0,3,4,0,0,575
1,0,1,2,2,575
3,0,0,3,1,575
0,0,0,2,3,576
0,0,0,6,0,576
1,3,2,1,0,576
0,3,1,1,1,577
2,3,0,2,0,577
0,2,4,1,0,578
6,2,1,0,0,578
1,2,2,2,0,579
5,2,0,0,1,579
0,2,1,2,1,580
2,2,0,3,0,580
5,1,3,0,0,580
0,1,4,2,0,581
4,1,2,0,1,581
6,1,1,1,0,581
1,1,2,3,0,582
3,1,1,0,2,582
4,0,5,0,0,582
5,1,0,1,1,582
0,1,1,3,1,583
2,1,0,0,3,583
2,1,0,4,0,583
3,0,4,0,1,583
5,0,3,1,0,583
0,0,4,3,0,584
2,0,3,0,2,584
4,0,2,1,1,584
4,4,0,0,0,584
6,0,1,2,0,584
1,0,2,0,3,585
1,0,2,4,0,585
3,0,1,1,2,585
5,0,0,2,1,585
0,0,1,0,4,586
0,0,1,4,1,586
2,0,0,1,3,586
2,0,0,5,0,586
3,3,2,0,0,586
2,3,1,0,1,587
4,3,0,1,0,587
1,3,0,0,2,588
2,2,4,0,0,588
1,2,3,0,1,589
3,2,2,1,0,589
0,2,2,0,2,590
1,1,6,0,0,590
2,2,1,1,1,590
4,2,0,2,0,590
0,1,5,0,1,591
1,2,0,1,2,591
2,1,4,1,0,591
8,1,1,0,0,591
0,0,8,0,0,592
1,1,3,1,1,592
1,5,1,0,0,592
3,1,2,2,0,592
7,1,0,0,1,592
0,1,2,1,2,593
0,5,0,0,1,593
1,0,6,1,0,593
2,1,1,2,1,593
4,1,0,3,0,593
7,0,3,0,0,593
0,0,5,1,1,594
0,4,3,0,0,594
1,1,0,2,2,594
2,0,4,2,0,594
6,0,2,0,1,594
8,0,1,1,0,594
1,0,3,2,1,595
1,4,1,1,0,595
3,0,2,3,0,595
5,0,1,0,2,595
7,0,0,1,1,595
0,0,2,2,2,596
0,4,0,1,1,596
2,0,1,3,1,596
4,0,0,0,3,596
4,0,0,4,0,596
0,3,3,1,0,597
1,0,0,3,2,597
6,3,0,0,0,597
1,3,1,2,0,598
0,3,0,2,1,599
5,2,2,0,0,599
0,2,3,2,0,600
4,2,1,0,1,600
6,2,0,1,0,600
1,2,1,3,0,601
3,2,0,0,2,601
4,1,4,0,0,601
0,2,0,3,1,602
3,1,3,0,1,602
5,1,2,1,0,602
0,1,3,3,0,603
2,1,2,0,2,603
3,0,6,0,0,603
4,1,1,1,1,603
6,1,0,2,0,603
1,1,1,0,3,604
1,1,1,4,0,604
2,0,5,0,1,604
3,1,0,1,2,604
4,0,4,1,0,604
0,1,0,0,4,605
0,1,0,4,1,605
1,0,4,0,2,605
3,0,3,1,1,605
3,4,1,0,0,605
5,0,2,2,0,605
9,0,0,0,1,605
0,0,3,0,3,606
0,0,3,4,0,606
2,0,2,1,2,606
2,4,0,0,1,606
4,0,1,2,1,606
6,0,0,3,0,606
1,0,1,1,3,607
1,0,1,5,0,607
2,3,3,0,0,607
3,0,0,2,2,607
0,0,0,1,4,608
0,0,0,5,1,608
1,3,2,0,1,608
3,3,1,1,0,608
0,3,1,0,2,609
1,2,5,0,0,609
2,3,0,1,1,609
0,2,4,0,1,610
2,2,3,1,0,610
8,2,0,0,0,610
0,1,7,0,0,611
1,2,2,1,1,611
1,6,0,0,0,611
3,2,1,2,0,611
0,2,1,1,2,612
1,1,5,1,0,612
2,2,0,2,1,612
7,1,2,0,0,612
0,1,4,1,1,613
0,5,2,0,0,613
2,1,3,2,0,613
6,1,1,0,1,613
8,1,0,1,0,613
0,0,7,1,0,614
1,1,2,2,1,614
1,5,0,1,0,614
3,1,1,3,0,614
5,1,0,0,2,614
6,0,4,0,0,614
0,1,1,2,2,615
1,0,5,2,0,615
2,1,0,3,1,615
5,0,3,0,1,615
7,0,2,1,0,615
0,0,4,2,1,616
0,4,2,1,0,616
2,0,3,3,0,616
4,0,2,0,2,616
6,0,1,1,1,616
8,0,0,2,0,616
1,0,2,3,1,617
1,4,0,2,0,617
3,0,1,0,3,617
3,0,1,4,0,617
5,0,0,1,2,617
0,0,1,3,2,618
2,0,0,0,4,618
2,0,0,4,1,618
5,3,1,0,0,618
0,3,2,2,0,619
4,3,0,0,1,619
1,3,0,3,0,620
4,2,3,0,0,620
3,2,2,0,1,621
5,2,1,1,0,621
0,2,2,3,0,622
2,2,1,0,2,622
3,1,5,0,0,622
4,2,0,1,1,622
1,2,0,0,3,623
1,2,0,4,0,623
2,1,4,0,1,623
4,1,3,1,0,623
1,1,3,0,2,624
2,0,7,0,0,624
3,1,2,1,1,624
3,5,0,0,0,624
5,1,1,2,0,624
0,1,2,0,3,625
0,1,2,4,0,625
1,0,6,0,1,625
2,1,1,1,2,625
3,0,5,1,0,625
4,1,0,2,1,625
9,0,2,0,0,625
0,0,5,0,2,626
1,1,0,1,3,626
1,1,0,5,0,626
2,0,4,1,1,626
2,4,2,0,0,626
4,0,3,2,0,626
8,0,1,0,1,626
1,0,3,1,2,627
1,4,1,0,1,627
3,0,2,2,1,627
3,4,0,1,0,627
5,0,1,3,0,627
7,0,0,0,2,627
0,0,2,1,3,628
0,0,2,5,0,628
0,4,0,0,2,628
1,3,4,0,0,628
2,0,1,2,2,628
4,0,0,3,1,628
0,3,3,0,1,629
1,0,0,2,3,629
1,0,0,6,0,629
2,3,2,1,0,629
0,2,6,0,0,630
1,3,1,1,1,630
3,3,0,2,0,630
0,3,0,1,2,631
1,2,4,1,0,631
7,2,1,0,0,631
0,2,3,1,1,632
0,6,1,0,0,632
2,2,2,2,0,632
6,2,0,0,1,632
0,1,6,1,0,633
1,2,1,2,1,633
3,2,0,3,0,633
6,1,3,0,0,633
0,2,0,2,2,634
1,1,4,2,0,634
5,1,2,0,1,634
7,1,1,1,0,634
0,1,3,2,1,635
0,5,1,1,0,635
2,1,2,3,0,635
4,1,1,0,2,635
5,0,5,0,0,635
6,1,0,1,1,635
0,0,6,2,0,636
1,1,1,3,1,636
3,1,0,0,3,636
3,1,0,4,0,636
4,0,4,0,1,636
6,0,3,1,0,636
0,1,0,3,2,637
1,0,4,3,0,637
3,0,3,0,2,637
5,0,2,1,1,637
5,4,0,0,0,637
7,0,1,2,0,637
0,0,3,3,1,638
0,4,1,2,0,638
2,0,2,0,3,638
2,0,2,4,0,638
4,0,1,1,2,638
6,0,0,2,1,638
1,0,1,0,4,639
1,0,1,4,1,639
3,0,0,1,3,639
3,0,0,5,0,639
4,3,2,0,0,639
0,0,0,0,5,640
0,0,0,4,2,640
3,3,1,0,1,640
5,3,0,1,0,640
0,3,1,3,0,641
2,3,0,0,2,641
3,2,4,0,0,641
2,2,3,0,1,642
4,2,2,1,0,642
1,2,2,0,2,643
2,1,6,0,0,643
3,2,1,1,1,643
5,2,0,2,0,643
0,2,1,0,3,644
0,2,1,4,0,644
1,1,5,0,1,644
2,2,0,1,2,644
3,1,4,1,0,644
9,1,1,0,0,644
0,1,4,0,2,645
1,0,8,0,0,645
2,1,3,1,1,645
2,5,1,0,0,645
4,1,2,2,0,645
8,1,0,0,1,645
0,0,7,0,1,646
1,1,2,1,2,646
1,5,0,0,1,646
2,0,6,1,0,646
3,1,1,2,1,646
5,1,0,3,0,646
8,0,3,0,0,646
0,1,1,1,3,647
0,1,1,5,0,647
1,0,5,1,1,647
1,4,3,0,0,647
2,1,0,2,2,647
3,0,4,2,0,647
7,0,2,0,1,647
9,0,1,1,0,647
0,0,4,1,2,648
0,4,2,0,1,648
2,0,3,2,1,648
2,4,1,1,0,648
4,0,2,3,0,648
6,0,1,0,2,648
8,0,0,1,1,648
0,3,5,0,0,649
1,0,2,2,2,649
1,4,0,1,1,649
3,0,1,3,1,649
5,0,0,0,3,649
5,0,0,4,0,649
0,0,1,2,3,650
0,0,1,6,0,650
1,3,3,1,0,650
2,0,0,3,2,650
7,3,0,0,0,650
0,3,2,1,1,651
0,7,0,0,0,651
2,3,1,2,0,651
0,2,5,1,0,652
1,3,0,2,1,652
6,2,2,0,0,652
1,2,3,2,0,653
5,2,1,0,1,653
7,2,0,1,0,653
0,2,2,2,1,654
0,6,0,1,0,654
2,2,1,3,0,654
4,2,0,0,2,654
5,1,4,0,0,654
0,1,5,2,0,655
1,2,0,3,1,655
4,1,3,0,1,655
6,1,2,1,0,655
1,1,3,3,0,656
3,1,2,0,2,656
4,0,6,0,0,656
5,1,1,1,1,656
7,1,0,2,0,656
0,1,2,3,1,657
0,5,0,2,0,657
2,1,1,0,3,657
2,1,1,4,0,657
3,0,5,0,1,657
4,1,0,1,2,657
5,0,4,1,0,657
0,0,5,3,0,658
1,1,0,0,4,658
1,1,0,4,1,658
2,0,4,0,2,658
4,0,3,1,1,658
4,4,1,0,0,658
6,0,2,2,0,658
1,0,3,0,3,659
1,0,3,4,0,659
3,0,2,1,2,659
3,4,0,0,1,659
5,0,1,2,1,659
7,0,0,3,0,659
0,0,2,0,4,660
0,0,2,4,1,660
0,4,0,3,0,660
2,0,1,1,3,660
2,0,1,5,0,660
3,3,3,0,0,660
4,0,0,2,2,660
1,0,0,1,4,661
1,0,0,5,1,661
2,3,2,0,1,661
4,3,1,1,0,661
1,3,1,0,2,662
2,2,5,0,0,662
3,3,0,1,1,662
0,3,0,0,3,663
0,3,0,4,0,663
1,2,4,0,1,663
3,2,3,1,0,663
9,2,0,0,0,663
0,2,3,0,2,664
1,1,7,0,0,664
2,2,2,1,1,664
2,6,0,0,0,664
4,2,1,2,0,664
0,1,6,0,1,665
1,2,1,1,2,665
2,1,5,1,0,665
3,2,0,2,1,665
8,1,2,0,0,665
0,0,9,0,0,666
0,2,0,1,3,666
0,2,0,5,0,666
1,1,4,1,1,666
1,5,2,0,0,666
3,1,3,2,0,666
7,1,1,0,1,666
9,1,0,1,0,666
0,1,3,1,2,667
0,5,1,0,1,667
1,0,7,1,0,667
2,1,2,2,1,667
2,5,0,1,0,667
4,1,1,3,0,667
6,1,0,0,2,667
7,0,4,0,0,667
0,0,6,1,1,668
0,4,4,0,0,668
1,1,1,2,2,668
2,0,5,2,0,668
3,1,0,3,1,668
6,0,3,0,1,668
8,0,2,1,0,668
0,1,0,2,3,669
0,1,0,6,0,669
1,0,4,2,1,669
1,4,2,1,0,669
3,0,3,3,0,669
5,0,2,0,2,669
7,0,1,1,1,669
9,0,0,2,0,669
0,0,3,2,2,670
0,4,1,1,1,670
2,0,2,3,1,670
2,4,0,2,0,670
4,0,1,0,3,670
4,0,1,4,0,670
6,0,0,1,2,670
0,3,4,1,0,671
1,0,1,3,2,671
3,0,0,0,4,671
3,0,0,4,1,671
6,3,1,0,0,671
0,0,0,3,3,672
0,0,0,7,0,672
1,3,2,2,0,672
5,3,0,0,1,672
0,3,1,2,1,673
2,3,0,3,0,673
5,2,3,0,0,673
0,2,4,2,0,674
4,2,2,0,1,674
6,2,1,1,0,674
1,2,2,3,0,675
3,2,1,0,2,675
4,1,5,0,0,675
5,2,0,1,1,675
0,2,1,3,1,676
2,2,0,0,3,676
2,2,0,4,0,676
3,1,4,0,1,676
5,1,3,1,0,676
0,1,4,3,0,677
2,1,3,0,2,677
3,0,7,0,0,677
4,1,2,1,1,677
4,5,0,0,0,677
6,1,1,2,0,677
1,1,2,0,3,678
1,1,2,4,0,678
2,0,6,0,1,678
3,1,1,1,2,678
4,0,5,1,0,678
5,1,0,2,1,678
0,1,1,0,4,679
0,1,1,4,1,679
1,0,5,0,2,679
2,1,0,1,3,679
2,1,0,5,0,679
3,0,4,1,1,679
3,4,2,0,0,679
5,0,3,2,0,679
9,0,1,0,1,679
0,0,4,0,3,680
0,0,4,4,0,680
2,0,3,1,2,680
2,4,1,0,1,680
4,0,2,2,1,680
4,4,0,1,0,680
6,0,1,3,0,680
8,0,0,0,2,680
1,0,2,1,3,681
1,0,2,5,0,681
1,4,0,0,2,681
2,3,4,0,0,681
3,0,1,2,2,681
5,0,0,3,1,681
0,0,1,1,4,682
0,0,1,5,1,682
1,3,3,0,1,682
2,0,0,2,3,682
2,0,0,6,0,682
3,3,2,1,0,682
0,3,2,0,2,683
1,2,6,0,0,683
2,3,1,1,1,683
4,3,0,2,0,683
0,2,5,0,1,684
1,3,0,1,2,684
2,2,4,1,0,684
8,2,1,0,0,684
0,1,8,0,0,685
1,2,3,1,1,685
1,6,1,0,0,685
3,2,2,2,0,685
7,2,0,0,1,685
0,2,2,1,2,686
0,6,0,0,1,686
1,1,6,1,0,686
2,2,1,2,1,686
4,2,0,3,0,686
7,1,3,0,0,686
0,1,5,1,1,687
0,5,3,0,0,687
1,2,0,2,2,687
2,1,4,2,0,687
6,1,2,0,1,687
8,1,1,1,0,687
0,0,8,1,0,688
1,1,3,2,1,688
1,5,1,1,0,688
3,1,2,3,0,688
5,1,1,0,2,688
6,0,5,0,0,688
7,1,0,1,1,688
0,1,2,2,2,689
0,5,0,1,1,689
1,0,6,2,0,689
2,1,1,3,1,689
4,1,0,0,3,689
4,1,0,4,0,689
5,0,4,0,1,689
7,0,3,1,0,689
0,0,5,2,1,690
0,4,3,1,0,690
1,1,0,3,2,690
2,0,4,3,0,690
4,0,3,0,2,690
6,0,2,1,1,690
6,4,0,0,0,690
8,0,1,2,0,690
1,0,3,3,1,691
1,4,1,2,0,691
3,0,2,0,3,691
3,0,2,4,0,691
5,0,1,1,2,691
7,0,0,2,1,691
0,0,2,3,2,692
0,4,0,2,1,692
2,0,1,0,4,692
2,0,1,4,1,692
4,0,0,1,3,692
4,0,0,5,0,692
5,3,2,0,0,692
0,3,3,2,0,693
1,0,0,0,5,693
1,0,0,4,2,693
4,3,1,0,1,693
6,3,0,1,0,693
1,3,1,3,0,694
3,3,0,0,2,694
4,2,4,0,0,694
0,3,0,3,1,695
3,2,3,0,1,695
5,2,2,1,0,695
0,2,3,3,0,696
2,2,2,0,2,696
3,1,6,0,0,696
4,2,1,1,1,696
6,2,0,2,0,696
1,2,1,0,3,697
1,2,1,4,0,697
2,1,5,0,1,697
3,2,0,1,2,697
4,1,4,1,0,697
0,2,0,0,4,698
0,2,0,4,1,698
1,1,4,0,2,698
2,0,8,0,0,698
3,1,3,1,1,698
3,5,1,0,0,698
5,1,2,2,0,698
9,1,0,0,1,698
0,1,3,0,3,699
0,1,3,4,0,699
1,0,7,0,1,699
