2M,4M,6M,MM,
5,5,0,0,1145
2,1,6,0,1146
3,0,5,1,1146
1,3,5,0,1148
2,2,4,1,1148
3,1,3,2,1148
4,0,2,3,1148
0,5,4,0,1150
1,4,3,1,1150
2,3,2,2,1150
3,2,1,3,1150
4,1,0,4,1150
0,6,2,1,1152
1,5,1,2,1152
2,4,0,3,1152
7,0,3,0,1154
0,7,0,2,1154
0,0,3,5,1155
6,2,2,0,1156
7,1,1,1,1156
8,0,0,2,1156
0,1,1,6,1157
1,0,0,7,1157
5,4,1,0,1158
6,3,0,1,1158
2,0,7,0,1159
4,6,0,0,1160
1,2,6,0,1161
2,1,5,1,1161
3,0,4,2,1161
0,4,5,0,1163
1,3,4,1,1163
2,2,3,2,1163
3,1,2,3,1163
4,0,1,4,1163
0,5,3,1,1165
1,4,2,2,1165
2,3,1,3,1165
3,2,0,4,1165
0,6,1,2,1167
1,5,0,3,1167
6,1,3,0,1169
7,0,2,1,1169
0,0,2,6,1170
5,3,2,0,1171
6,2,1,1,1171
7,1,0,2,1171
0,1,0,7,1172
4,5,1,0,1173
5,4,0,1,1173
1,1,7,0,1174
2,0,6,1,1174
3,7,0,0,1175
0,3,6,0,1176
1,2,5,1,1176
2,1,4,2,1176
3,0,3,3,1176
0,4,4,1,1178
1,3,3,2,1178
2,2,2,3,1178
3,1,1,4,1178
4,0,0,5,1178
0,5,2,2,1180
1,4,1,3,1180
2,3,0,4,1180
6,0,4,0,1182
0,6,0,3,1182
5,2,3,0,1184
6,1,2,1,1184
7,0,1,2,1184
0,0,1,7,1185
4,4,2,0,1186
5,3,1,1,1186
6,2,0,2,1186
1,0,8,0,1187
3,6,1,0,1188
4,5,0,1,1188
0,2,7,0,1189
1,1,6,1,1189
2,0,5,2,1189
2,8,0,0,1190
0,3,5,1,1191
1,2,4,2,1191
2,1,3,3,1191
3,0,2,4,1191
0,4,3,2,1193
1,3,2,3,1193
2,2,1,4,1193
3,1,0,5,1193
0,5,1,3,1195
1,4,0,4,1195
5,1,4,0,1197
6,0,3,1,1197
4,3,3,0,1199
5,2,2,1,1199
6,1,1,2,1199
7,0,0,3,1199
0,0,0,8,1200
3,5,2,0,1201
4,4,1,1,1201
5,3,0,2,1201
0,1,8,0,1202
1,0,7,1,1202
2,7,1,0,1203
3,6,0,1,1203
0,2,6,1,1204
1,1,5,2,1204
2,0,4,3,1204
1,9,0,0,1205
0,3,4,2,1206
1,2,3,3,1206
2,1,2,4,1206
3,0,1,5,1206
9,2,0,0,1207
0,4,2,3,1208
1,3,1,4,1208
2,2,0,5,1208
5,0,5,0,1210
0,5,0,4,1210
4,2,4,0,1212
5,1,3,1,1212
6,0,2,2,1212
3,4,3,0,1214
4,3,2,1,1214
5,2,1,2,1214
6,1,0,3,1214
0,0,9,0,1215
2,6,2,0,1216
3,5,1,1,1216
4,4,0,2,1216
0,1,7,1,1217
1,0,6,2,1217
1,8,1,0,1218
2,7,0,1,1218
0,2,5,2,1219
1,1,4,3,1219
2,0,3,4,1219
9,1,1,0,1220
0,3,3,3,1221
1,2,2,4,1221
2,1,1,5,1221
3,0,0,6,1221
8,3,0,0,1222
0,4,1,4,1223
1,3,0,5,1223
4,1,5,0,1225
5,0,4,1,1225
3,3,4,0,1227
4,2,3,1,1227
5,1,2,2,1227
6,0,1,3,1227
2,5,3,0,1229
3,4,2,1,1229
4,3,1,2,1229
5,2,0,3,1229
0,0,8,1,1230
1,7,2,0,1231
2,6,1,1,1231
3,5,0,2,1231
0,1,6,2,1232
1,0,5,3,1232
0,9,1,0,1233
9,0,2,0,1233
1,8,0,1,1233
0,2,4,3,1234
1,1,3,4,1234
2,0,2,5,1234
8,2,1,0,1235
9,1,0,1,1235
0,3,2,4,1236
1,2,1,5,1236
2,1,0,6,1236
7,4,0,0,1237
4,0,6,0,1238
0,4,0,5,1238
3,2,5,0,1240
4,1,4,1,1240
5,0,3,2,1240
2,4,4,0,1242
3,3,3,1,1242
4,2,2,2,1242
5,1,1,3,1242
6,0,0,4,1242
1,6,3,0,1244
2,5,2,1,1244
3,4,1,2,1244
4,3,0,3,1244
0,0,7,2,1245
0,8,2,0,1246
1,7,1,1,1246
2,6,0,2,1246
0,1,5,3,1247
1,0,4,4,1247
8,1,2,0,1248
0,9,0,1,1248
9,0,1,1,1248
0,2,3,4,1249
1,1,2,5,1249
2,0,1,6,1249
7,3,1,0,1250
8,2,0,1,1250
0,3,1,5,1251
1,2,0,6,1251
6,5,0,0,1252
3,1,6,0,1253
4,0,5,1,1253
2,3,5,0,1255
3,2,4,1,1255
4,1,3,2,1255
5,0,2,3,1255
1,5,4,0,1257
2,4,3,1,1257
3,3,2,2,1257
4,2,1,3,1257
5,1,0,4,1257
0,7,3,0,1259
1,6,2,1,1259
2,5,1,2,1259
3,4,0,3,1259
0,0,6,3,1260
8,0,3,0,1261
0,8,1,1,1261
1,7,0,2,1261
0,1,4,4,1262
1,0,3,5,1262
7,2,2,0,1263
8,1,1,1,1263
9,0,0,2,1263
0,2,2,5,1264
1,1,1,6,1264
2,0,0,7,1264
6,4,1,0,1265
7,3,0,1,1265
3,0,7,0,1266
0,3,0,6,1266
5,6,0,0,1267
2,2,6,0,1268
3,1,5,1,1268
4,0,4,2,1268
1,4,5,0,1270
2,3,4,1,1270
3,2,3,2,1270
4,1,2,3,1270
5,0,1,4,1270
0,6,4,0,1272
1,5,3,1,1272
2,4,2,2,1272
3,3,1,3,1272
4,2,0,4,1272
0,7,2,1,1274
1,6,1,2,1274
2,5,0,3,1274
0,0,5,4,1275
7,1,3,0,1276
8,0,2,1,1276
0,8,0,2,1276
0,1,3,5,1277
1,0,2,6,1277
6,3,2,0,1278
7,2,1,1,1278
8,1,0,2,1278
0,2,1,6,1279
1,1,0,7,1279
5,5,1,0,1280
6,4,0,1,1280
2,1,7,0,1281
3,0,6,1,1281
4,7,0,0,1282
1,3,6,0,1283
2,2,5,1,1283
3,1,4,2,1283
4,0,3,3,1283
0,5,5,0,1285
1,4,4,1,1285
2,3,3,2,1285
3,2,2,3,1285
4,1,1,4,1285
5,0,0,5,1285
0,6,3,1,1287
1,5,2,2,1287
2,4,1,3,1287
3,3,0,4,1287
7,0,4,0,1289
0,7,1,2,1289
1,6,0,3,1289
0,0,4,5,1290
6,2,3,0,1291
7,1,2,1,1291
8,0,1,2,1291
0,1,2,6,1292
1,0,1,7,1292
5,4,2,0,1293
6,3,1,1,1293
7,2,0,2,1293
2,0,8,0,1294
0,2,0,7,1294
4,6,1,0,1295
5,5,0,1,1295
1,2,7,0,1296
2,1,6,1,1296
3,0,5,2,1296
3,8,0,0,1297
0,4,6,0,1298
1,3,5,1,1298
2,2,4,2,1298
3,1,3,3,1298
4,0,2,4,1298
0,5,4,1,1300
1,4,3,2,1300
2,3,2,3,1300
3,2,1,4,1300
4,1,0,5,1300
0,6,2,2,1302
1,5,1,3,1302
2,4,0,4,1302
6,1,4,0,1304
7,0,3,1,1304
0,7,0,3,1304
0,0,3,6,1305
5,3,3,0,1306
6,2,2,1,1306
7,1,1,2,1306
8,0,0,3,1306
0,1,1,7,1307
1,0,0,8,1307
4,5,2,0,1308
5,4,1,1,1308
6,3,0,2,1308
1,1,8,0,1309
2,0,7,1,1309
3,7,1,0,1310
4,6,0,1,1310
0,3,7,0,1311
1,2,6,1,1311
2,1,5,2,1311
3,0,4,3,1311
2,9,0,0,1312
0,4,5,1,1313
1,3,4,2,1313
2,2,3,3,1313
3,1,2,4,1313
4,0,1,5,1313
0,5,3,2,1315
1,4,2,3,1315
2,3,1,4,1315
3,2,0,5,1315
6,0,5,0,1317
0,6,1,3,1317
1,5,0,4,1317
5,2,4,0,1319
6,1,3,1,1319
7,0,2,2,1319
0,0,2,7,1320
4,4,3,0,1321
5,3,2,1,1321
6,2,1,2,1321
7,1,0,3,1321
1,0,9,0,1322
0,1,0,8,1322
3,6,2,0,1323
4,5,1,1,1323
5,4,0,2,1323
0,2,8,0,1324
1,1,7,1,1324
2,0,6,2,1324
2,8,1,0,1325
3,7,0,1,1325
0,3,6,1,1326
1,2,5,2,1326
2,1,4,3,1326
3,0,3,4,1326
0,4,4,2,1328
1,3,3,3,1328
2,2,2,4,1328
3,1,1,5,1328
4,0,0,6,1328
9,3,0,0,1329
0,5,2,3,1330
1,4,1,4,1330
2,3,0,5,1330
5,1,5,0,1332
6,0,4,1,1332
0,6,0,4,1332
4,3,4,0,1334
5,2,3,1,1334
6,1,2,2,1334
7,0,1,3,1334
0,0,1,8,1335
3,5,3,0,1336
4,4,2,1,1336
5,3,1,2,1336
6,2,0,3,1336
0,1,9,0,1337
1,0,8,1,1337
2,7,2,0,1338
3,6,1,1,1338
4,5,0,2,1338
0,2,7,1,1339
1,1,6,2,1339
2,0,5,3,1339
1,9,1,0,1340
2,8,0,1,1340
0,3,5,2,1341
1,2,4,3,1341
2,1,3,4,1341
3,0,2,5,1341
9,2,1,0,1342
0,4,3,3,1343
1,3,2,4,1343
2,2,1,5,1343
3,1,0,6,1343
8,4,0,0,1344
5,0,6,0,1345
0,5,1,4,1345
1,4,0,5,1345
4,2,5,0,1347
5,1,4,1,1347
6,0,3,2,1347
3,4,4,0,1349
4,3,3,1,1349
5,2,2,2,1349
6,1,1,3,1349
7,0,0,4,1349
0,0,0,9,1350
2,6,3,0,1351
3,5,2,1,1351
4,4,1,2,1351
5,3,0,3,1351
0,1,8,1,1352
1,0,7,2,1352
1,8,2,0,1353
2,7,1,1,1353
3,6,0,2,1353
0,2,6,2,1354
1,1,5,3,1354
2,0,4,4,1354
9,1,2,0,1355
1,9,0,1,1355
0,3,4,3,1356
1,2,3,4,1356
2,1,2,5,1356
3,0,1,6,1356
8,3,1,0,1357
9,2,0,1,1357
0,4,2,4,1358
1,3,1,5,1358
2,2,0,6,1358
7,5,0,0,1359
4,1,6,0,1360
5,0,5,1,1360
0,5,0,5,1360
3,3,5,0,1362
4,2,4,1,1362
5,1,3,2,1362
6,0,2,3,1362
2,5,4,0,1364
3,4,3,1,1364
4,3,2,2,1364
5,2,1,3,1364
6,1,0,4,1364
0,0,9,1,1365
1,7,3,0,1366
2,6,2,1,1366
3,5,1,2,1366
4,4,0,3,1366
0,1,7,2,1367
1,0,6,3,1367
0,9,2,0,1368
9,0,3,0,1368
1,8,1,1,1368
2,7,0,2,1368
0,2,5,3,1369
1,1,4,4,1369
2,0,3,5,1369
8,2,2,0,1370
9,1,1,1,1370
0,3,3,4,1371
1,2,2,5,1371
2,1,1,6,1371
3,0,0,7,1371
7,4,1,0,1372
8,3,0,1,1372
4,0,7,0,1373
0,4,1,5,1373
1,3,0,6,1373
6,6,0,0,1374
3,2,6,0,1375
4,1,5,1,1375
5,0,4,2,1375
2,4,5,0,1377
3,3,4,1,1377
4,2,3,2,1377
5,1,2,3,1377
6,0,1,4,1377
1,6,4,0,1379
2,5,3,1,1379
3,4,2,2,1379
4,3,1,3,1379
5,2,0,4,1379
0,0,8,2,1380
0,8,3,0,1381
1,7,2,1,1381
2,6,1,2,1381
3,5,0,3,1381
0,1,6,3,1382
1,0,5,4,1382
8,1,3,0,1383
0,9,1,1,1383
9,0,2,1,1383
1,8,0,2,1383
0,2,4,4,1384
1,1,3,5,1384
2,0,2,6,1384
7,3,2,0,1385
8,2,1,1,1385
9,1,0,2,1385
0,3,2,5,1386
1,2,1,6,1386
2,1,0,7,1386
6,5,1,0,1387
7,4,0,1,1387
3,1,7,0,1388
4,0,6,1,1388
0,4,0,6,1388
5,7,0,0,1389
2,3,6,0,1390
3,2,5,1,1390
4,1,4,2,1390
5,0,3,3,1390
1,5,5,0,1392
2,4,4,1,1392
3,3,3,2,1392
4,2,2,3,1392
5,1,1,4,1392
6,0,0,5,1392
0,7,4,0,1394
1,6,3,1,1394
2,5,2,2,1394
3,4,1,3,1394
4,3,0,4,1394
0,0,7,3,1395
8,0,4,0,1396
0,8,2,1,1396
1,7,1,2,1396
2,6,0,3,1396
0,1,5,4,1397
1,0,4,5,1397
7,2,3,0,1398
8,1,2,1,1398
0,9,0,2,1398
9,0,1,2,1398
0,2,3,5,1399
1,1,2,6,1399
2,0,1,7,1399
6,4,2,0,1400
7,3,1,1,1400
8,2,0,2,1400
3,0,8,0,1401
0,3,1,6,1401
1,2,0,7,1401
5,6,1,0,1402
6,5,0,1,1402
2,2,7,0,1403
3,1,6,1,1403
4,0,5,2,1403
4,8,0,0,1404
1,4,6,0,1405
2,3,5,1,1405
3,2,4,2,1405
4,1,3,3,1405
5,0,2,4,1405
0,6,5,0,1407
1,5,4,1,1407
2,4,3,2,1407
3,3,2,3,1407
4,2,1,4,1407
5,1,0,5,1407
0,7,3,1,1409
1,6,2,2,1409
2,5,1,3,1409
3,4,0,4,1409
0,0,6,4,1410
7,1,4,0,1411
8,0,3,1,1411
0,8,1,2,1411
1,7,0,3,1411
0,1,4,5,1412
1,0,3,6,1412
6,3,3,0,1413
7,2,2,1,1413
8,1,1,2,1413
9,0,0,3,1413
0,2,2,6,1414
1,1,1,7,1414
2,0,0,8,1414
5,5,2,0,1415
6,4,1,1,1415
7,3,0,2,1415
2,1,8,0,1416
3,0,7,1,1416
0,3,0,7,1416
4,7,1,0,1417
5,6,0,1,1417
1,3,7,0,1418
2,2,6,1,1418
3,1,5,2,1418
4,0,4,3,1418
3,9,0,0,1419
0,5,6,0,1420
1,4,5,1,1420
2,3,4,2,1420
3,2,3,3,1420
4,1,2,4,1420
5,0,1,5,1420
0,6,4,1,1422
1,5,3,2,1422
2,4,2,3,1422
3,3,1,4,1422
4,2,0,5,1422
7,0,5,0,1424
0,7,2,2,1424
1,6,1,3,1424
2,5,0,4,1424
0,0,5,5,1425
6,2,4,0,1426
7,1,3,1,1426
8,0,2,2,1426
0,8,0,3,1426
0,1,3,6,1427
1,0,2,7,1427
5,4,3,0,1428
6,3,2,1,1428
7,2,1,2,1428
8,1,0,3,1428
2,0,9,0,1429
0,2,1,7,1429
1,1,0,8,1429
4,6,2,0,1430
5,5,1,1,1430
6,4,0,2,1430
1,2,8,0,1431
2,1,7,1,1431
3,0,6,2,1431
3,8,1,0,1432
4,7,0,1,1432
0,4,7,0,1433
1,3,6,1,1433
2,2,5,2,1433
3,1,4,3,1433
4,0,3,4,1433
0,5,5,1,1435
1,4,4,2,1435
2,3,3,3,1435
3,2,2,4,1435
4,1,1,5,1435
5,0,0,6,1435
0,6,3,2,1437
1,5,2,3,1437
2,4,1,4,1437
3,3,0,5,1437
6,1,5,0,1439
7,0,4,1,1439
0,7,1,3,1439
1,6,0,4,1439
0,0,4,6,1440
5,3,4,0,1441
6,2,3,1,1441
7,1,2,2,1441
8,0,1,3,1441
0,1,2,7,1442
1,0,1,8,1442
4,5,3,0,1443
5,4,2,1,1443
6,3,1,2,1443
7,2,0,3,1443
1,1,9,0,1444
2,0,8,1,1444
0,2,0,8,1444
3,7,2,0,1445
4,6,1,1,1445
5,5,0,2,1445
0,3,8,0,1446
1,2,7,1,1446
2,1,6,2,1446
3,0,5,3,1446
2,9,1,0,1447
3,8,0,1,1447
0,4,6,1,1448
1,3,5,2,1448
2,2,4,3,1448
3,1,3,4,1448
4,0,2,5,1448
0,5,4,2,1450
1,4,3,3,1450
2,3,2,4,1450
3,2,1,5,1450
4,1,0,6,1450
9,4,0,0,1451
6,0,6,0,1452
0,6,2,3,1452
1,5,1,4,1452
2,4,0,5,1452
5,2,5,0,1454
6,1,4,1,1454
7,0,3,2,1454
0,7,0,4,1454
0,0,3,7,1455
4,4,4,0,1456
