"ibe","2M","4M","6M","MM"
0,0,0,0,5,750
0,2,0,4,0,754
0,1,2,3,0,756
0,2,1,2,1,756
0,3,0,1,2,756
0,0,4,2,0,758
0,1,3,1,1,758
0,2,2,0,2,758
0,0,5,0,1,760
0,6,1,0,0,764
0,1,1,4,0,769
0,2,0,3,1,769
0,0,3,3,0,771
0,1,2,2,1,771
0,2,1,1,2,771
0,3,0,0,3,771
0,0,4,1,1,773
0,1,3,0,2,773
0,6,0,1,0,777
0,5,2,0,0,779
0,1,0,5,0,782
0,0,2,4,0,784
0,1,1,3,1,784
0,2,0,2,2,784
0,0,3,2,1,786
0,1,2,1,2,786
0,2,1,0,3,786
0,0,4,0,2,788
0,5,1,1,0,792
0,6,0,0,1,792
0,4,3,0,0,794
0,0,1,5,0,797
0,1,0,4,1,797
0,0,2,3,1,799
0,1,1,2,2,799
0,2,0,1,3,799
0,0,3,1,2,801
0,1,2,0,3,801
0,5,0,2,0,805
0,4,2,1,0,807
0,5,1,0,1,807
0,3,4,0,0,809
0,0,0,6,0,810
0,0,1,4,1,812
0,1,0,3,2,812
0,0,2,2,2,814
0,1,1,1,3,814
0,2,0,0,4,814
0,0,3,0,3,816
0,4,1,2,0,820
0,5,0,1,1,820
0,3,3,1,0,822
0,4,2,0,1,822
0,2,5,0,0,824
0,0,0,5,1,825
0,0,1,3,2,827
0,1,0,2,3,827
0,0,2,1,3,829
0,1,1,0,4,829
0,4,0,3,0,833
0,3,2,2,0,835
0,4,1,1,1,835
0,5,0,0,2,835
0,2,4,1,0,837
0,3,3,0,1,837
0,1,6,0,0,839
0,0,0,4,2,840
0,0,1,2,3,842
0,1,0,1,4,842
0,0,2,0,4,844
0,3,1,3,0,848
0,4,0,2,1,848
0,2,3,2,0,850
0,3,2,1,1,850
0,4,1,0,2,850
0,1,5,1,0,852
0,2,4,0,1,852
0,0,7,0,0,854
0,0,0,3,3,855
0,8,0,0,0,856
0,0,1,1,4,857
0,1,0,0,5,857
0,3,0,4,0,861
0,2,2,3,0,863
0,3,1,2,1,863
0,4,0,1,2,863
0,1,4,2,0,865
0,2,3,1,1,865
0,3,2,0,2,865
0,0,6,1,0,867
0,1,5,0,1,867
0,0,0,2,4,870
0,7,1,0,0,871
0,0,1,0,5,872
0,2,1,4,0,876
0,3,0,3,1,876
0,1,3,3,0,878
0,2,2,2,1,878
0,3,1,1,2,878
0,4,0,0,3,878
0,0,5,2,0,880
0,1,4,1,1,880
0,2,3,0,2,880
0,0,6,0,1,882
0,7,0,1,0,884
0,0,0,1,5,885
0,6,2,0,0,886
0,2,0,5,0,889
0,1,2,4,0,891
0,2,1,3,1,891
0,3,0,2,2,891
0,0,4,3,0,893
0,1,3,2,1,893
0,2,2,1,2,893
0,3,1,0,3,893
0,0,5,1,1,895
0,1,4,0,2,895
0,6,1,1,0,899
0,7,0,0,1,899
0,0,0,0,6,900
0,5,3,0,0,901
0,1,1,5,0,904
0,2,0,4,1,904
0,0,3,4,0,906
0,1,2,3,1,906
0,2,1,2,2,906
0,3,0,1,3,906
0,0,4,2,1,908
0,1,3,1,2,908
0,2,2,0,3,908
0,0,5,0,2,910
0,6,0,2,0,912
0,5,2,1,0,914
0,6,1,0,1,914
0,4,4,0,0,916
0,1,0,6,0,917
0,0,2,5,0,919
0,1,1,4,1,919
0,2,0,3,2,919
0,0,3,3,1,921
0,1,2,2,2,921
0,2,1,1,3,921
0,3,0,0,4,921
0,0,4,1,2,923
0,1,3,0,3,923
0,5,1,2,0,927
0,6,0,1,1,927
0,4,3,1,0,929
0,5,2,0,1,929
0,3,5,0,0,931
0,0,1,6,0,932
0,1,0,5,1,932
0,0,2,4,1,934
0,1,1,3,2,934
0,2,0,2,3,934
0,0,3,2,2,936
0,1,2,1,3,936
0,2,1,0,4,936
0,0,4,0,3,938
0,5,0,3,0,940
0,4,2,2,0,942
0,5,1,1,1,942
0,6,0,0,2,942
0,3,4,1,0,944
0,4,3,0,1,944
0,0,0,7,0,945
0,2,6,0,0,946
0,0,1,5,1,947
0,1,0,4,2,947
0,0,2,3,2,949
0,1,1,2,3,949
0,2,0,1,4,949
0,0,3,1,3,951
0,1,2,0,4,951
0,4,1,3,0,955
0,5,0,2,1,955
0,3,3,2,0,957
0,4,2,1,1,957
0,5,1,0,2,957
0,2,5,1,0,959
0,3,4,0,1,959
0,0,0,6,1,960
0,1,7,0,0,961
0,0,1,4,2,962
0,1,0,3,3,962
0,9,0,0,0,963
0,0,2,2,3,964
0,1,1,1,4,964
0,2,0,0,5,964
0,0,3,0,4,966
0,4,0,4,0,968
0,3,2,3,0,970
0,4,1,2,1,970
0,5,0,1,2,970
0,2,4,2,0,972
0,3,3,1,1,972
0,4,2,0,2,972
0,1,6,1,0,974
0,2,5,0,1,974
0,0,0,5,2,975
0,0,8,0,0,976
0,0,1,3,3,977
0,1,0,2,4,977
0,8,1,0,0,978
0,0,2,1,4,979
0,1,1,0,5,979
0,3,1,4,0,983
0,4,0,3,1,983
0,2,3,3,0,985
0,3,2,2,1,985
0,4,1,1,2,985
0,5,0,0,3,985
0,1,5,2,0,987
0,2,4,1,1,987
0,3,3,0,2,987
0,0,7,1,0,989
0,1,6,0,1,989
0,0,0,4,3,990
0,8,0,1,0,991
0,0,1,2,4,992
0,1,0,1,5,992
0,7,2,0,0,993
0,0,2,0,5,994
0,3,0,5,0,996
0,2,2,4,0,998
0,3,1,3,1,998
0,4,0,2,2,998
0,1,4,3,0,1000
0,2,3,2,1,1000
0,3,2,1,2,1000
0,4,1,0,3,1000
0,0,6,2,0,1002
0,1,5,1,1,1002
0,2,4,0,2,1002
0,0,7,0,1,1004
0,0,0,3,4,1005
0,7,1,1,0,1006
0,8,0,0,1,1006
0,0,1,1,5,1007
0,1,0,0,6,1007
0,6,3,0,0,1008
0,2,1,5,0,1011
0,3,0,4,1,1011
0,1,3,4,0,1013
0,2,2,3,1,1013
0,3,1,2,2,1013
0,4,0,1,3,1013
0,0,5,3,0,1015
0,1,4,2,1,1015
0,2,3,1,2,1015
0,3,2,0,3,1015
0,0,6,1,1,1017
0,1,5,0,2,1017
0,7,0,2,0,1019
0,0,0,2,5,1020
0,6,2,1,0,1021
0,7,1,0,1,1021
0,0,1,0,6,1022
0,5,4,0,0,1023
0,2,0,6,0,1024
0,1,2,5,0,1026
0,2,1,4,1,1026
0,3,0,3,2,1026
0,0,4,4,0,1028
0,1,3,3,1,1028
0,2,2,2,2,1028
0,3,1,1,3,1028
0,4,0,0,4,1028
0,0,5,2,1,1030
0,1,4,1,2,1030
0,2,3,0,3,1030
0,0,6,0,2,1032
0,6,1,2,0,1034
0,7,0,1,1,1034
0,0,0,1,6,1035
0,5,3,1,0,1036
0,6,2,0,1,1036
0,4,5,0,0,1038
0,1,1,6,0,1039
0,2,0,5,1,1039
0,0,3,5,0,1041
0,1,2,4,1,1041
0,2,1,3,2,1041
0,3,0,2,3,1041
0,0,4,3,1,1043
0,1,3,2,2,1043
0,2,2,1,3,1043
0,3,1,0,4,1043
0,0,5,1,2,1045
0,1,4,0,3,1045
0,6,0,3,0,1047
0,5,2,2,0,1049
0,6,1,1,1,1049
0,7,0,0,2,1049
0,0,0,0,7,1050
0,4,4,1,0,1051
0,5,3,0,1,1051
0,1,0,7,0,1052
0,3,6,0,0,1053
0,0,2,6,0,1054
0,1,1,5,1,1054
0,2,0,4,2,1054
0,0,3,4,1,1056
0,1,2,3,2,1056
0,2,1,2,3,1056
0,3,0,1,4,1056
0,0,4,2,2,1058
0,1,3,1,3,1058
0,2,2,0,4,1058
0,0,5,0,3,1060
0,5,1,3,0,1062
0,6,0,2,1,1062
0,4,3,2,0,1064
0,5,2,1,1,1064
0,6,1,0,2,1064
0,3,5,1,0,1066
0,4,4,0,1,1066
0,0,1,7,0,1067
0,1,0,6,1,1067
0,2,7,0,0,1068
0,0,2,5,1,1069
0,1,1,4,2,1069
0,2,0,3,3,1069
0,0,3,3,2,1071
0,1,2,2,3,1071
0,2,1,1,4,1071
0,3,0,0,5,1071
0,0,4,1,3,1073
0,1,3,0,4,1073
0,5,0,4,0,1075
0,4,2,3,0,1077
0,5,1,2,1,1077
0,6,0,1,2,1077
0,3,4,2,0,1079
0,4,3,1,1,1079
0,5,2,0,2,1079
0,0,0,8,0,1080
0,2,6,1,0,1081
0,3,5,0,1,1081
0,0,1,6,1,1082
0,1,0,5,2,1082
0,1,8,0,0,1083
0,0,2,4,2,1084
0,1,1,3,3,1084
0,2,0,2,4,1084
0,9,1,0,0,1085
0,0,3,2,3,1086
0,1,2,1,4,1086
0,2,1,0,5,1086
0,0,4,0,4,1088
0,4,1,4,0,1090
0,5,0,3,1,1090
0,3,3,3,0,1092
0,4,2,2,1,1092
0,5,1,1,2,1092
0,6,0,0,3,1092
0,2,5,2,0,1094
0,3,4,1,1,1094
0,4,3,0,2,1094
0,0,0,7,1,1095
0,1,7,1,0,1096
0,2,6,0,1,1096
0,0,1,5,2,1097
0,1,0,4,3,1097
0,0,9,0,0,1098
0,9,0,1,0,1098
0,0,2,3,3,1099
0,1,1,2,4,1099
0,2,0,1,5,1099
0,8,2,0,0,1100
0,0,3,1,4,1101
0,1,2,0,5,1101
0,4,0,5,0,1103
0,3,2,4,0,1105
0,4,1,3,1,1105
0,5,0,2,2,1105
0,2,4,3,0,1107
0,3,3,2,1,1107
0,4,2,1,2,1107
0,5,1,0,3,1107
0,1,6,2,0,1109
0,2,5,1,1,1109
0,3,4,0,2,1109
0,0,0,6,2,1110
0,0,8,1,0,1111
0,1,7,0,1,1111
0,0,1,4,3,1112
0,1,0,3,4,1112
0,8,1,1,0,1113
0,9,0,0,1,1113
0,0,2,2,4,1114
0,1,1,1,5,1114
0,2,0,0,6,1114
0,7,3,0,0,1115
0,0,3,0,5,1116
0,3,1,5,0,1118
0,4,0,4,1,1118
0,2,3,4,0,1120
0,3,2,3,1,1120
0,4,1,2,2,1120
0,5,0,1,3,1120
0,1,5,3,0,1122
0,2,4,2,1,1122
0,3,3,1,2,1122
0,4,2,0,3,1122
0,0,7,2,0,1124
0,1,6,1,1,1124
0,2,5,0,2,1124
0,0,0,5,3,1125
0,8,0,2,0,1126
0,0,8,0,1,1126
0,0,1,3,4,1127
0,1,0,2,5,1127
0,7,2,1,0,1128
0,8,1,0,1,1128
0,0,2,1,5,1129
0,1,1,0,6,1129
0,6,4,0,0,1130
0,3,0,6,0,1131
0,2,2,5,0,1133
0,3,1,4,1,1133
0,4,0,3,2,1133
0,1,4,4,0,1135
0,2,3,3,1,1135
0,3,2,2,2,1135
0,4,1,1,3,1135
0,5,0,0,4,1135
0,0,6,3,0,1137
0,1,5,2,1,1137
0,2,4,1,2,1137
0,3,3,0,3,1137
0,0,7,1,1,1139
0,1,6,0,2,1139
0,0,0,4,4,1140
0,7,1,2,0,1141
0,8,0,1,1,1141
0,0,1,2,5,1142
0,1,0,1,6,1142
0,6,3,1,0,1143
0,7,2,0,1,1143
0,0,2,0,6,1144
0,5,5,0,0,1145
0,2,1,6,0,1146
0,3,0,5,1,1146
0,1,3,5,0,1148
0,2,2,4,1,1148
0,3,1,3,2,1148
0,4,0,2,3,1148
0,0,5,4,0,1150
0,1,4,3,1,1150
0,2,3,2,2,1150
0,3,2,1,3,1150
0,4,1,0,4,1150
0,0,6,2,1,1152
0,1,5,1,2,1152
0,2,4,0,3,1152
0,7,0,3,0,1154
0,0,7,0,2,1154
0,0,0,3,5,1155
0,6,2,2,0,1156
0,7,1,1,1,1156
0,8,0,0,2,1156
0,0,1,1,6,1157
0,1,0,0,7,1157
0,5,4,1,0,1158
0,6,3,0,1,1158
0,2,0,7,0,1159
0,4,6,0,0,1160
0,1,2,6,0,1161
0,2,1,5,1,1161
0,3,0,4,2,1161
0,0,4,5,0,1163
0,1,3,4,1,1163
0,2,2,3,2,1163
0,3,1,2,3,1163
0,4,0,1,4,1163
0,0,5,3,1,1165
0,1,4,2,2,1165
0,2,3,1,3,1165
0,3,2,0,4,1165
0,0,6,1,2,1167
0,1,5,0,3,1167
0,6,1,3,0,1169
0,7,0,2,1,1169
0,0,0,2,6,1170
0,5,3,2,0,1171
0,6,2,1,1,1171
0,7,1,0,2,1171
0,0,1,0,7,1172
0,4,5,1,0,1173
0,5,4,0,1,1173
0,1,1,7,0,1174
0,2,0,6,1,1174
0,3,7,0,0,1175
0,0,3,6,0,1176
0,1,2,5,1,1176
0,2,1,4,2,1176
0,3,0,3,3,1176
0,0,4,4,1,1178
0,1,3,3,2,1178
0,2,2,2,3,1178
0,3,1,1,4,1178
0,4,0,0,5,1178
0,0,5,2,2,1180
0,1,4,1,3,1180
0,2,3,0,4,1180
0,6,0,4,0,1182
0,0,6,0,3,1182
0,5,2,3,0,1184
0,6,1,2,1,1184
0,7,0,1,2,1184
0,0,0,1,7,1185
0,4,4,2,0,1186
0,5,3,1,1,1186
0,6,2,0,2,1186
0,1,0,8,0,1187
0,3,6,1,0,1188
0,4,5,0,1,1188
0,0,2,7,0,1189
0,1,1,6,1,1189
0,2,0,5,2,1189
0,2,8,0,0,1190
0,0,3,5,1,1191
0,1,2,4,2,1191
0,2,1,3,3,1191
0,3,0,2,4,1191
0,0,4,3,2,1193
0,1,3,2,3,1193
0,2,2,1,4,1193
0,3,1,0,5,1193
0,0,5,1,3,1195
0,1,4,0,4,1195
0,5,1,4,0,1197
0,6,0,3,1,1197
0,4,3,3,0,1199
0,5,2,2,1,1199
0,6,1,1,2,1199
0,7,0,0,3,1199
0,0,0,0,8,1200
0,3,5,2,0,1201
0,4,4,1,1,1201
0,5,3,0,2,1201
0,0,1,8,0,1202
0,1,0,7,1,1202
0,2,7,1,0,1203
0,3,6,0,1,1203
0,0,2,6,1,1204
0,1,1,5,2,1204
0,2,0,4,3,1204
0,1,9,0,0,1205
0,0,3,4,2,1206
0,1,2,3,3,1206
0,2,1,2,4,1206
0,3,0,1,5,1206
0,9,2,0,0,1207
0,0,4,2,3,1208
0,1,3,1,4,1208
0,2,2,0,5,1208
0,5,0,5,0,1210
0,0,5,0,4,1210
0,4,2,4,0,1212
0,5,1,3,1,1212
0,6,0,2,2,1212
0,3,4,3,0,1214
0,4,3,2,1,1214
0,5,2,1,2,1214
0,6,1,0,3,1214
0,0,0,9,0,1215
0,2,6,2,0,1216
0,3,5,1,1,1216
0,4,4,0,2,1216
0,0,1,7,1,1217
0,1,0,6,2,1217
0,1,8,1,0,1218
0,2,7,0,1,1218
0,0,2,5,2,1219
0,1,1,4,3,1219
0,2,0,3,4,1219
0,9,1,1,0,1220
0,0,3,3,3,1221
0,1,2,2,4,1221
0,2,1,1,5,1221
0,3,0,0,6,1221
0,8,3,0,0,1222
0,0,4,1,4,1223
0,1,3,0,5,1223
0,4,1,5,0,1225
0,5,0,4,1,1225
0,3,3,4,0,1227
0,4,2,3,1,1227
0,5,1,2,2,1227
0,6,0,1,3,1227
0,2,5,3,0,1229
0,3,4,2,1,1229
0,4,3,1,2,1229
0,5,2,0,3,1229
0,0,0,8,1,1230
0,1,7,2,0,1231
0,2,6,1,1,1231
0,3,5,0,2,1231
0,0,1,6,2,1232
0,1,0,5,3,1232
0,0,9,1,0,1233
0,9,0,2,0,1233
0,1,8,0,1,1233
0,0,2,4,3,1234
0,1,1,3,4,1234
0,2,0,2,5,1234
0,8,2,1,0,1235
0,9,1,0,1,1235
0,0,3,2,4,1236
0,1,2,1,5,1236
0,2,1,0,6,1236
0,7,4,0,0,1237
0,4,0,6,0,1238
0,0,4,0,5,1238
0,3,2,5,0,1240
0,4,1,4,1,1240
0,5,0,3,2,1240
0,2,4,4,0,1242
0,3,3,3,1,1242
0,4,2,2,2,1242
0,5,1,1,3,1242
0,6,0,0,4,1242
0,1,6,3,0,1244
0,2,5,2,1,1244
0,3,4,1,2,1244
0,4,3,0,3,1244
0,0,0,7,2,1245
0,0,8,2,0,1246
0,1,7,1,1,1246
0,2,6,0,2,1246
0,0,1,5,3,1247
0,1,0,4,4,1247
0,8,1,2,0,1248
0,0,9,0,1,1248
0,9,0,1,1,1248
0,0,2,3,4,1249
0,1,1,2,5,1249
0,2,0,1,6,1249
0,7,3,1,0,1250
0,8,2,0,1,1250
0,0,3,1,5,1251
0,1,2,0,6,1251
0,6,5,0,0,1252
0,3,1,6,0,1253
0,4,0,5,1,1253
0,2,3,5,0,1255
0,3,2,4,1,1255
0,4,1,3,2,1255
0,5,0,2,3,1255
0,1,5,4,0,1257
0,2,4,3,1,1257
0,3,3,2,2,1257
0,4,2,1,3,1257
0,5,1,0,4,1257
0,0,7,3,0,1259
0,1,6,2,1,1259
0,2,5,1,2,1259
0,3,4,0,3,1259
0,0,0,6,3,1260
0,8,0,3,0,1261
0,0,8,1,1,1261
0,1,7,0,2,1261
0,0,1,4,4,1262
0,1,0,3,5,1262
0,7,2,2,0,1263
0,8,1,1,1,1263
0,9,0,0,2,1263
0,0,2,2,5,1264
0,1,1,1,6,1264
0,2,0,0,7,1264
0,6,4,1,0,1265
0,7,3,0,1,1265
0,3,0,7,0,1266
0,0,3,0,6,1266
0,5,6,0,0,1267
0,2,2,6,0,1268
0,3,1,5,1,1268
0,4,0,4,2,1268
0,1,4,5,0,1270
0,2,3,4,1,1270
0,3,2,3,2,1270
0,4,1,2,3,1270
0,5,0,1,4,1270
0,0,6,4,0,1272
0,1,5,3,1,1272
0,2,4,2,2,1272
0,3,3,1,3,1272
0,4,2,0,4,1272
0,0,7,2,1,1274
0,1,6,1,2,1274
0,2,5,0,3,1274
0,0,0,5,4,1275
0,7,1,3,0,1276
0,8,0,2,1,1276
0,0,8,0,2,1276
0,0,1,3,5,1277
0,1,0,2,6,1277
0,6,3,2,0,1278
0,7,2,1,1,1278
0,8,1,0,2,1278
0,0,2,1,6,1279
0,1,1,0,7,1279
0,5,5,1,0,1280
0,6,4,0,1,1280
0,2,1,7,0,1281
0,3,0,6,1,1281
0,4,7,0,0,1282
0,1,3,6,0,1283
0,2,2,5,1,1283
0,3,1,4,2,1283
0,4,0,3,3,1283
0,0,5,5,0,1285
0,1,4,4,1,1285
0,2,3,3,2,1285
0,3,2,2,3,1285
0,4,1,1,4,1285
0,5,0,0,5,1285
0,0,6,3,1,1287
0,1,5,2,2,1287
0,2,4,1,3,1287
0,3,3,0,4,1287
0,7,0,4,0,1289
0,0,7,1,2,1289
0,1,6,0,3,1289
0,0,0,4,5,1290
0,6,2,3,0,1291
0,7,1,2,1,1291
0,8,0,1,2,1291
0,0,1,2,6,1292
0,1,0,1,7,1292
0,5,4,2,0,1293
0,6,3,1,1,1293
0,7,2,0,2,1293
0,2,0,8,0,1294
0,0,2,0,7,1294
0,4,6,1,0,1295
0,5,5,0,1,1295
0,1,2,7,0,1296
0,2,1,6,1,1296
0,3,0,5,2,1296
0,3,8,0,0,1297
0,0,4,6,0,1298
0,1,3,5,1,1298
0,2,2,4,2,1298
0,3,1,3,3,1298
0,4,0,2,4,1298
0,0,5,4,1,1300
0,1,4,3,2,1300
0,2,3,2,3,1300
0,3,2,1,4,1300
0,4,1,0,5,1300
0,0,6,2,2,1302
0,1,5,1,3,1302
0,2,4,0,4,1302
0,6,1,4,0,1304
0,7,0,3,1,1304
0,0,7,0,3,1304
0,0,0,3,6,1305
0,5,3,3,0,1306
0,6,2,2,1,1306
0,7,1,1,2,1306
0,8,0,0,3,1306
0,0,1,1,7,1307
0,1,0,0,8,1307
0,4,5,2,0,1308
0,5,4,1,1,1308
0,6,3,0,2,1308
0,1,1,8,0,1309
0,2,0,7,1,1309
0,3,7,1,0,1310
0,4,6,0,1,1310
0,0,3,7,0,1311
0,1,2,6,1,1311
0,2,1,5,2,1311
0,3,0,4,3,1311
0,2,9,0,0,1312
0,0,4,5,1,1313
0,1,3,4,2,1313
0,2,2,3,3,1313
0,3,1,2,4,1313
0,4,0,1,5,1313
0,0,5,3,2,1315
0,1,4,2,3,1315
0,2,3,1,4,1315
0,3,2,0,5,1315
0,6,0,5,0,1317
0,0,6,1,3,1317
0,1,5,0,4,1317
0,5,2,4,0,1319
0,6,1,3,1,1319
0,7,0,2,2,1319
0,0,0,2,7,1320
0,4,4,3,0,1321
0,5,3,2,1,1321
0,6,2,1,2,1321
0,7,1,0,3,1321
0,1,0,9,0,1322
0,0,1,0,8,1322
0,3,6,2,0,1323
0,4,5,1,1,1323
0,5,4,0,2,1323
0,0,2,8,0,1324
0,1,1,7,1,1324
0,2,0,6,2,1324
0,2,8,1,0,1325
0,3,7,0,1,1325
0,0,3,6,1,1326
0,1,2,5,2,1326
0,2,1,4,3,1326
0,3,0,3,4,1326
0,0,4,4,2,1328
0,1,3,3,3,1328
0,2,2,2,4,1328
0,3,1,1,5,1328
0,4,0,0,6,1328
0,9,3,0,0,1329
0,0,5,2,3,1330
0,1,4,1,4,1330
0,2,3,0,5,1330
0,5,1,5,0,1332
0,6,0,4,1,1332
0,0,6,0,4,1332
0,4,3,4,0,1334
0,5,2,3,1,1334
0,6,1,2,2,1334
0,7,0,1,3,1334
0,0,0,1,8,1335
0,3,5,3,0,1336
0,4,4,2,1,1336
0,5,3,1,2,1336
0,6,2,0,3,1336
0,0,1,9,0,1337
0,1,0,8,1,1337
0,2,7,2,0,1338
0,3,6,1,1,1338
0,4,5,0,2,1338
0,0,2,7,1,1339
0,1,1,6,2,1339
0,2,0,5,3,1339
0,1,9,1,0,1340
0,2,8,0,1,1340
0,0,3,5,2,1341
0,1,2,4,3,1341
0,2,1,3,4,1341
0,3,0,2,5,1341
0,9,2,1,0,1342
0,0,4,3,3,1343
0,1,3,2,4,1343
0,2,2,1,5,1343
0,3,1,0,6,1343
0,8,4,0,0,1344
0,5,0,6,0,1345
0,0,5,1,4,1345
0,1,4,0,5,1345
0,4,2,5,0,1347
0,5,1,4,1,1347
0,6,0,3,2,1347
0,3,4,4,0,1349
0,4,3,3,1,1349
0,5,2,2,2,1349
0,6,1,1,3,1349
0,7,0,0,4,1349
0,0,0,0,9,1350
0,2,6,3,0,1351
0,3,5,2,1,1351
0,4,4,1,2,1351
0,5,3,0,3,1351
0,0,1,8,1,1352
0,1,0,7,2,1352
0,1,8,2,0,1353
0,2,7,1,1,1353
0,3,6,0,2,1353
0,0,2,6,2,1354
0,1,1,5,3,1354
0,2,0,4,4,1354
0,9,1,2,0,1355
0,1,9,0,1,1355
0,0,3,4,3,1356
0,1,2,3,4,1356
0,2,1,2,5,1356
0,3,0,1,6,1356
0,8,3,1,0,1357
0,9,2,0,1,1357
0,0,4,2,4,1358
0,1,3,1,5,1358
0,2,2,0,6,1358
0,7,5,0,0,1359
0,4,1,6,0,1360
0,5,0,5,1,1360
0,0,5,0,5,1360
0,3,3,5,0,1362
0,4,2,4,1,1362
0,5,1,3,2,1362
0,6,0,2,3,1362
0,2,5,4,0,1364
0,3,4,3,1,1364
0,4,3,2,2,1364
0,5,2,1,3,1364
0,6,1,0,4,1364
0,0,0,9,1,1365
0,1,7,3,0,1366
0,2,6,2,1,1366
0,3,5,1,2,1366
0,4,4,0,3,1366
0,0,1,7,2,1367
0,1,0,6,3,1367
0,0,9,2,0,1368
0,9,0,3,0,1368
0,1,8,1,1,1368
0,2,7,0,2,1368
0,0,2,5,3,1369
0,1,1,4,4,1369
0,2,0,3,5,1369
0,8,2,2,0,1370
0,9,1,1,1,1370
0,0,3,3,4,1371
0,1,2,2,5,1371
0,2,1,1,6,1371
0,3,0,0,7,1371
0,7,4,1,0,1372
0,8,3,0,1,1372
0,4,0,7,0,1373
0,0,4,1,5,1373
0,1,3,0,6,1373
0,6,6,0,0,1374
0,3,2,6,0,1375
0,4,1,5,1,1375
0,5,0,4,2,1375
0,2,4,5,0,1377
0,3,3,4,1,1377
0,4,2,3,2,1377
0,5,1,2,3,1377
0,6,0,1,4,1377
0,1,6,4,0,1379
0,2,5,3,1,1379
0,3,4,2,2,1379
0,4,3,1,3,1379
0,5,2,0,4,1379
0,0,0,8,2,1380
0,0,8,3,0,1381
0,1,7,2,1,1381
0,2,6,1,2,1381
0,3,5,0,3,1381
0,0,1,6,3,1382
0,1,0,5,4,1382
